,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[68],0.981,0.012,0.958,0.998,0.0,0.0,37340.0,19334.0,1.0
p_pain[69],0.969,0.018,0.937,0.995,0.0,0.0,24875.0,19039.0,1.0
p_pain[70],0.933,0.029,0.878,0.981,0.0,0.0,51679.0,18993.0,1.0
p_pain[71],0.995,0.005,0.986,1.0,0.0,0.0,30553.0,19170.0,1.0
p_pain[72],0.96,0.02,0.923,0.992,0.0,0.0,32143.0,18986.0,1.0
p_pain[73],0.508,0.09,0.342,0.671,0.001,0.001,15526.0,8392.0,1.0
p_pain[74],0.508,0.09,0.342,0.671,0.001,0.001,15526.0,8392.0,1.0
p_pain[75],0.893,0.033,0.83,0.951,0.0,0.0,34227.0,19159.0,1.0
p_pain[76],0.989,0.009,0.973,0.999,0.0,0.0,25707.0,19162.0,1.0
p_pain[77],0.943,0.026,0.894,0.985,0.0,0.0,46121.0,18652.0,1.0
p_pain[78],0.674,0.037,0.603,0.743,0.0,0.0,43257.0,17853.0,1.0
p_pain[79],0.807,0.053,0.705,0.899,0.0,0.0,43257.0,17853.0,1.0
p_pain[80],0.933,0.029,0.878,0.981,0.0,0.0,51679.0,18993.0,1.0
p_pain[81],0.951,0.023,0.909,0.988,0.0,0.0,38765.0,19070.0,1.0
p_pain[82],0.997,0.004,0.99,1.0,0.0,0.0,23083.0,18873.0,1.0
p_pain[83],0.995,0.005,0.987,1.0,0.0,0.0,27870.0,19475.0,1.0
p_pain[84],0.969,0.018,0.937,0.995,0.0,0.0,24875.0,19039.0,1.0
p_pain[85],0.996,0.004,0.989,1.0,0.0,0.0,25406.0,19212.0,1.0
p_pain[86],0.995,0.005,0.986,1.0,0.0,0.0,30553.0,19170.0,1.0
p_pain[87],0.554,0.074,0.414,0.688,0.001,0.0,17158.0,10072.0,1.0
p_pain[88],0.991,0.008,0.978,1.0,0.0,0.0,22164.0,18244.0,1.0
p_pain[89],0.607,0.056,0.499,0.706,0.0,0.0,21627.0,12696.0,1.0
p_pain[90],0.984,0.011,0.963,0.999,0.0,0.0,34227.0,19159.0,1.0
p_pain[91],0.986,0.01,0.968,0.999,0.0,0.0,29697.0,19060.0,1.0
p_pain[92],0.835,0.044,0.751,0.913,0.0,0.0,55255.0,18692.0,1.0
p_pain[93],0.96,0.02,0.923,0.992,0.0,0.0,32143.0,18986.0,1.0
p_pain[94],0.468,0.102,0.278,0.655,0.001,0.001,14707.0,7920.0,1.0
p_pain[95],0.997,0.003,0.992,1.0,0.0,0.0,20975.0,17428.0,1.0
p_pain[96],0.981,0.012,0.958,0.998,0.0,0.0,37340.0,19334.0,1.0
p_pain[97],0.779,0.063,0.66,0.889,0.0,0.0,33696.0,16617.0,1.0
p_pain[98],0.863,0.037,0.792,0.93,0.0,0.0,49240.0,18849.0,1.0
p_pain[99],0.995,0.005,0.987,1.0,0.0,0.0,27870.0,19475.0,1.0
p_pain[100],0.468,0.102,0.278,0.655,0.001,0.001,14707.0,7920.0,1.0
p_pain[101],0.969,0.018,0.937,0.995,0.0,0.0,24875.0,19039.0,1.0
p_pain[102],0.779,0.063,0.66,0.889,0.0,0.0,33696.0,16617.0,1.0
p_pain[103],0.863,0.037,0.792,0.93,0.0,0.0,49240.0,18849.0,1.0
p_pain[104],0.951,0.023,0.909,0.988,0.0,0.0,38765.0,19070.0,1.0
p_pain[105],0.943,0.026,0.894,0.985,0.0,0.0,46121.0,18652.0,1.0
p_pain[106],0.807,0.053,0.705,0.899,0.0,0.0,43257.0,17853.0,1.0
p_pain[107],0.674,0.037,0.603,0.743,0.0,0.0,43257.0,17853.0,1.0
p_pain[108],0.508,0.09,0.342,0.671,0.001,0.001,15526.0,8392.0,1.0
p_pain[109],0.995,0.005,0.986,1.0,0.0,0.0,30553.0,19170.0,1.0
p_pain[110],0.893,0.033,0.83,0.951,0.0,0.0,34227.0,19159.0,1.0
p_pain[111],0.996,0.004,0.989,1.0,0.0,0.0,25406.0,19212.0,1.0
p_pain[112],0.96,0.02,0.923,0.992,0.0,0.0,32143.0,18986.0,1.0
p_pain[113],0.607,0.056,0.499,0.706,0.0,0.0,21627.0,12696.0,1.0
p_pain[114],0.835,0.044,0.751,0.913,0.0,0.0,55255.0,18692.0,1.0
p_pain[115],0.986,0.01,0.968,0.999,0.0,0.0,29697.0,19060.0,1.0
p_pain[116],0.989,0.009,0.973,0.999,0.0,0.0,25707.0,19162.0,1.0
p_pain[117],0.981,0.012,0.958,0.998,0.0,0.0,37340.0,19334.0,1.0
p_pain[118],0.933,0.029,0.878,0.981,0.0,0.0,51679.0,18993.0,1.0
p_pain[119],0.997,0.004,0.99,1.0,0.0,0.0,23083.0,18873.0,1.0
p_pain[120],0.984,0.011,0.963,0.999,0.0,0.0,34227.0,19159.0,1.0
p_pain[121],0.554,0.074,0.414,0.688,0.001,0.0,17158.0,10072.0,1.0
p_pain[122],0.997,0.003,0.992,1.0,0.0,0.0,20975.0,17428.0,1.0
p_pain[123],0.991,0.008,0.978,1.0,0.0,0.0,22164.0,18244.0,1.0
p_pain[124],0.901,0.038,0.832,0.969,0.0,0.0,46462.0,18124.0,1.0
p_pain[125],0.935,0.026,0.887,0.98,0.0,0.0,36295.0,18962.0,1.0
p_pain[126],0.233,0.063,0.117,0.348,0.0,0.0,25968.0,13769.0,1.0
p_pain[127],0.664,0.047,0.578,0.754,0.0,0.0,45253.0,18827.0,1.0
p_pain[128],0.768,0.056,0.664,0.868,0.0,0.0,46982.0,18291.0,1.0
