,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_param[sub-004],152.065,25.725,104.626,199.576,0.118,0.085,46300.0,17942.0,1.0
beta_param[sub-005],155.857,24.662,109.393,200.927,0.106,0.077,52938.0,17631.0,1.0
beta_param[sub-006],154.728,24.725,109.46,201.991,0.109,0.08,50381.0,16558.0,1.0
beta_param[sub-007],196.385,30.481,140.118,253.758,0.133,0.096,51251.0,18063.0,1.0
beta_param[sub-008],123.345,20.449,85.643,161.591,0.091,0.068,50601.0,17706.0,1.0
beta_param[sub-009],144.056,24.265,100.681,190.671,0.108,0.08,51062.0,18467.0,1.0
beta_param[sub-010],138.531,23.195,95.909,182.118,0.102,0.076,52129.0,16721.0,1.0
beta_param[sub-011],122.215,20.676,85.02,162.708,0.083,0.063,61693.0,17368.0,1.0
beta_param[sub-012],181.28,28.302,130.488,235.818,0.129,0.092,46327.0,16726.0,1.0
beta_param[sub-013],180.013,27.931,128.417,232.329,0.133,0.095,42962.0,17953.0,1.0
beta_param[sub-014],133.397,22.264,92.037,174.595,0.091,0.068,59929.0,17375.0,1.0
beta_param[sub-015],181.882,27.709,130.367,235.154,0.117,0.085,54493.0,16986.0,1.0
beta_param[sub-016],163.428,27.809,112.542,216.029,0.12,0.09,53734.0,17017.0,1.0
beta_param[sub-017],97.937,18.705,63.494,133.222,0.119,0.084,23136.0,14422.0,1.0
beta_param[sub-019],147.606,25.548,101.773,196.361,0.122,0.087,42367.0,17277.0,1.0
beta_param[sub-020],143.408,25.104,96.919,190.337,0.127,0.091,38369.0,17977.0,1.0
beta_param[sub-021],151.461,26.367,103.314,201.46,0.136,0.097,36442.0,17623.0,1.0
beta_param[sub-022],169.1,26.292,121.467,218.814,0.114,0.084,52957.0,18147.0,1.0
beta_param[sub-023],147.421,24.544,101.169,192.52,0.104,0.079,56282.0,18068.0,1.0
beta_param[sub-024],153.334,24.178,109.074,199.453,0.105,0.077,52113.0,16882.0,1.0
beta_param[sub-026],107.444,19.817,71.627,145.683,0.119,0.084,26188.0,15975.0,1.0
beta_param[sub-027],157.513,26.084,108.885,206.306,0.136,0.096,34589.0,16199.0,1.0
beta_param[sub-029],92.093,16.958,60.947,124.175,0.079,0.056,44036.0,17158.0,1.0
beta_param[sub-030],173.741,27.514,123.291,226.676,0.133,0.095,41114.0,16983.0,1.0
beta_param[sub-032],170.152,28.794,116.705,223.736,0.124,0.092,53756.0,16085.0,1.0
beta_param[sub-033],182.691,28.443,128.297,235.038,0.12,0.088,56086.0,18248.0,1.0
beta_param[sub-034],158.867,25.432,110.361,205.433,0.108,0.079,53956.0,17274.0,1.0
beta_param[sub-035],14.975,5.063,6.062,24.491,0.027,0.02,32012.0,17553.0,1.0
beta_param[sub-037],129.145,22.687,88.372,172.583,0.139,0.098,25316.0,16010.0,1.0
beta_param[sub-038],132.061,21.678,92.675,173.497,0.095,0.071,52366.0,16524.0,1.0
beta_param[sub-041],167.076,26.008,119.76,216.606,0.11,0.081,54406.0,16995.0,1.0
beta_param[sub-042],165.396,25.754,118.812,215.947,0.108,0.077,54489.0,16705.0,1.0
beta_param[sub-043],149.662,23.909,105.445,194.644,0.106,0.077,49925.0,17764.0,1.0
beta_param[sub-044],153.071,25.793,105.842,202.035,0.109,0.082,56400.0,17183.0,1.0
beta_param[sub-045],177.44,28.149,125.726,231.04,0.138,0.098,39677.0,15543.0,1.0
beta_param[sub-047],130.08,20.798,90.749,168.899,0.089,0.065,52961.0,15494.0,1.0
beta_param[sub-048],111.432,19.117,75.79,147.307,0.084,0.06,50453.0,16809.0,1.0
beta_param[sub-050],164.725,25.625,115.642,211.768,0.113,0.082,51039.0,17188.0,1.0
k_pain[sub-004],0.445,0.296,0.0,0.956,0.002,0.001,17982.0,11768.0,1.0
k_pain[sub-005],2.145,0.218,1.705,2.522,0.001,0.001,40854.0,14793.0,1.0
