,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k_pain[sub-041],1.745,1.631,1.0,4.798,0.632,0.468,6.0,13.0,3.35
k_pain[sub-042],2.071,2.339,1.0,7.063,0.958,0.714,6.0,27.0,3.28
k_pain[sub-043],0.812,0.238,0.506,1.014,0.106,0.08,6.0,23.0,3.3
k_pain[sub-044],3.015,3.196,0.5,9.856,1.415,1.064,5.0,11.0,4.08
k_pain[sub-045],2.673,1.153,0.688,4.107,0.514,0.387,5.0,11.0,3.47
k_pain[sub-047],3.142,2.524,0.5,6.757,1.053,0.786,6.0,14.0,2.75
k_pain[sub-048],1.932,1.218,1.0,4.266,0.539,0.405,5.0,14.0,3.64
k_pain[sub-050],2.505,1.931,1.012,5.406,0.649,0.475,6.0,18.0,2.24
p_pain[0],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[1],0.763,0.151,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[2],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[3],0.833,0.165,0.526,1.0,0.074,0.055,6.0,25.0,3.35
p_pain[4],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[5],0.702,0.124,0.518,0.87,0.055,0.042,6.0,14.0,3.31
p_pain[6],0.832,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[7],0.851,0.148,0.591,1.0,0.066,0.05,6.0,15.0,3.34
p_pain[8],0.701,0.124,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[9],0.831,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[10],0.612,0.073,0.509,0.721,0.033,0.025,6.0,14.0,3.31
p_pain[11],0.831,0.169,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[12],0.919,0.118,0.685,1.0,0.053,0.04,6.0,15.0,3.25
p_pain[13],0.7,0.125,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[14],0.704,0.163,0.509,1.0,0.073,0.055,6.0,24.0,3.32
p_pain[15],0.884,0.172,0.544,1.0,0.077,0.058,6.0,23.0,3.42
p_pain[16],0.615,0.073,0.509,0.723,0.032,0.024,6.0,15.0,3.3
p_pain[17],0.864,0.17,0.535,1.0,0.076,0.057,6.0,25.0,3.39
p_pain[18],0.782,0.159,0.518,1.0,0.071,0.053,6.0,25.0,3.33
p_pain[19],0.804,0.164,0.535,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[20],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[21],0.936,0.104,0.728,1.0,0.046,0.035,6.0,15.0,2.89
p_pain[22],0.613,0.073,0.509,0.722,0.033,0.024,6.0,15.0,3.31
p_pain[23],0.893,0.132,0.639,1.0,0.059,0.044,6.0,15.0,3.34
p_pain[24],0.919,0.118,0.685,1.0,0.053,0.04,6.0,15.0,3.25
p_pain[25],0.833,0.165,0.526,1.0,0.074,0.055,6.0,25.0,3.35
p_pain[26],0.763,0.151,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[27],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[28],0.936,0.104,0.728,1.0,0.046,0.035,6.0,15.0,2.89
p_pain[29],0.704,0.163,0.509,1.0,0.073,0.055,6.0,24.0,3.32
p_pain[30],0.831,0.169,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[31],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[32],0.851,0.148,0.591,1.0,0.066,0.05,6.0,15.0,3.34
p_pain[33],0.804,0.164,0.535,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[34],0.7,0.125,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[35],0.613,0.073,0.509,0.722,0.033,0.024,6.0,15.0,3.31
p_pain[36],0.831,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[37],0.702,0.124,0.518,0.87,0.055,0.042,6.0,14.0,3.31
p_pain[38],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[39],0.893,0.132,0.639,1.0,0.059,0.044,6.0,15.0,3.34
p_pain[40],0.782,0.159,0.518,1.0,0.071,0.053,6.0,25.0,3.33
p_pain[41],0.787,0.179,0.541,1.0,0.08,0.06,6.0,14.0,3.32
p_pain[42],0.832,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[43],0.701,0.124,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[44],0.612,0.073,0.509,0.721,0.033,0.025,6.0,14.0,3.31
p_pain[45],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[46],0.864,0.17,0.535,1.0,0.076,0.057,6.0,25.0,3.39
p_pain[47],0.884,0.172,0.544,1.0,0.077,0.058,6.0,23.0,3.42
p_pain[48],0.615,0.073,0.509,0.723,0.032,0.024,6.0,15.0,3.3
p_pain[49],0.851,0.148,0.591,1.0,0.066,0.05,6.0,15.0,3.34
p_pain[50],0.7,0.125,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[51],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[52],0.864,0.17,0.535,1.0,0.076,0.057,6.0,25.0,3.39
p_pain[53],0.787,0.179,0.541,1.0,0.08,0.06,6.0,14.0,3.32
p_pain[54],0.702,0.124,0.518,0.87,0.055,0.042,6.0,14.0,3.31
p_pain[55],0.615,0.073,0.509,0.723,0.032,0.024,6.0,15.0,3.3
p_pain[56],0.704,0.163,0.509,1.0,0.073,0.055,6.0,24.0,3.32
p_pain[57],0.701,0.124,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[58],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[59],0.763,0.151,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[60],0.804,0.164,0.535,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[61],0.884,0.172,0.544,1.0,0.077,0.058,6.0,23.0,3.42
p_pain[62],0.919,0.118,0.685,1.0,0.053,0.04,6.0,15.0,3.25
p_pain[63],0.831,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[64],0.832,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[65],0.782,0.159,0.518,1.0,0.071,0.053,6.0,25.0,3.33
p_pain[66],0.936,0.104,0.728,1.0,0.046,0.035,6.0,15.0,2.89
p_pain[67],0.612,0.073,0.509,0.721,0.033,0.025,6.0,14.0,3.31
p_pain[68],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[69],0.893,0.132,0.639,1.0,0.059,0.044,6.0,15.0,3.34
p_pain[70],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[71],0.831,0.169,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[72],0.833,0.165,0.526,1.0,0.074,0.055,6.0,25.0,3.35
p_pain[73],0.613,0.073,0.509,0.722,0.033,0.024,6.0,15.0,3.31
p_pain[74],0.613,0.073,0.509,0.722,0.033,0.024,6.0,15.0,3.31
p_pain[75],0.851,0.148,0.591,1.0,0.066,0.05,6.0,15.0,3.34
p_pain[76],0.864,0.17,0.535,1.0,0.076,0.057,6.0,25.0,3.39
p_pain[77],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[78],0.787,0.179,0.541,1.0,0.08,0.06,6.0,14.0,3.32
p_pain[79],0.701,0.124,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[80],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[81],0.763,0.151,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[82],0.884,0.172,0.544,1.0,0.077,0.058,6.0,23.0,3.42
p_pain[83],0.831,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[84],0.893,0.132,0.639,1.0,0.059,0.044,6.0,15.0,3.34
p_pain[85],0.832,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[86],0.831,0.169,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[87],0.615,0.073,0.509,0.723,0.032,0.024,6.0,15.0,3.3
p_pain[88],0.919,0.118,0.685,1.0,0.053,0.04,6.0,15.0,3.25
p_pain[89],0.704,0.163,0.509,1.0,0.073,0.055,6.0,24.0,3.32
p_pain[90],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[91],0.804,0.164,0.535,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[92],0.702,0.124,0.518,0.87,0.055,0.042,6.0,14.0,3.31
p_pain[93],0.833,0.165,0.526,1.0,0.074,0.055,6.0,25.0,3.35
p_pain[94],0.612,0.073,0.509,0.721,0.033,0.025,6.0,14.0,3.31
p_pain[95],0.936,0.104,0.728,1.0,0.046,0.035,6.0,15.0,2.89
p_pain[96],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[97],0.7,0.125,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[98],0.782,0.159,0.518,1.0,0.071,0.053,6.0,25.0,3.33
p_pain[99],0.831,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[100],0.612,0.073,0.509,0.721,0.033,0.025,6.0,14.0,3.31
p_pain[101],0.893,0.132,0.639,1.0,0.059,0.044,6.0,15.0,3.34
p_pain[102],0.7,0.125,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[103],0.782,0.159,0.518,1.0,0.071,0.053,6.0,25.0,3.33
p_pain[104],0.763,0.151,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[105],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[106],0.701,0.124,0.517,0.869,0.055,0.042,6.0,14.0,3.31
p_pain[107],0.787,0.179,0.541,1.0,0.08,0.06,6.0,14.0,3.32
p_pain[108],0.613,0.073,0.509,0.722,0.033,0.024,6.0,15.0,3.31
p_pain[109],0.831,0.169,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[110],0.851,0.148,0.591,1.0,0.066,0.05,6.0,15.0,3.34
p_pain[111],0.832,0.168,0.543,0.991,0.075,0.057,6.0,14.0,3.31
p_pain[112],0.833,0.165,0.526,1.0,0.074,0.055,6.0,25.0,3.35
p_pain[113],0.704,0.163,0.509,1.0,0.073,0.055,6.0,24.0,3.32
p_pain[114],0.702,0.124,0.518,0.87,0.055,0.042,6.0,14.0,3.31
p_pain[115],0.804,0.164,0.535,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[116],0.864,0.17,0.535,1.0,0.076,0.057,6.0,25.0,3.39
p_pain[117],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
p_pain[118],0.762,0.152,0.526,0.945,0.068,0.051,6.0,14.0,3.31
p_pain[119],0.884,0.172,0.544,1.0,0.077,0.058,6.0,23.0,3.42
p_pain[120],0.803,0.164,0.534,0.978,0.073,0.055,6.0,14.0,3.31
