,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
para,0,-1049.5003490474655,46.29300725009375,0.0,0.8757243087011723,30.073842099059913,0.0,False,log
linear,1,-1113.247109087895,45.3809852021202,63.74676004042946,0.1231909917626857,30.649942219888153,13.178431361670956,False,log
cubic,2,-1153.2430895839382,49.186546186027726,103.74274053647271,0.0,30.912803013546785,7.656738877620848,False,log
expo,3,-1355.579159383336,40.95745707184278,306.07881033587034,0.0,30.248189509717907,17.165514194886505,False,log
root,4,-1400.6238338203489,44.70311137858016,351.12348477288344,0.0,31.616022775881262,20.989378919403755,False,log
logarithmic,5,-1411.0841955595674,42.37415854388814,361.5838465121019,0.0,31.639553359174226,22.862463133757654,False,log
hyper,6,-2401.2941717079684,240.39560356390712,1351.7938226605029,0.0,24.072903072762855,24.775376962379116,True,log
none,7,-3249.7763843676967,0.0018212974136986304,2200.2760353202307,0.0010846995361419864,0.02583823468289406,30.081454179344806,True,log
