,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
para,0,-1049.253626725203,46.04628492783116,0.0,0.8760488882498009,30.046208314256894,0.0,True,log
linear,1,-1113.0233918844947,45.15726799871957,63.76976515929161,0.12290832487995212,30.61814344068703,13.173277662108639,True,log
cubic,2,-1152.9341614120585,48.87761801414807,103.68053468685558,6.8404572390565204e-15,30.88486274157342,7.646487807299426,True,log
expo,3,-1355.2747918578314,40.65308954633802,306.0211651326284,1.8864116746211237e-14,30.20236269472072,17.145272693244124,True,log
root,4,-1400.4914641534128,44.570741711644246,351.2378374282099,1.5972130095314077e-14,31.60017045731163,20.98402636693649,True,log
logarithmic,5,-1410.9415484297915,42.23151141411226,361.6879217045886,7.111128291024646e-15,31.622503917814797,22.850228481388683,True,log
hyper,6,-2415.4768665022316,254.57829835817017,1366.2232397770285,8.694444614549786e-14,25.814107643676373,25.701369762091087,True,log
none,7,-3249.776382923107,0.001819852823967124,2200.5227561979045,0.0010427868701111676,0.025838210244834594,30.053822612659175,False,log
