,z_subj,a_subj,t_subj,v_Intercept_subj,v_STA_SAI_Score_subj
0,0.5920644705672311,1.8692905365184593,0.5678058384470304,2.0366217400530515,-0.01888501880310494
1,0.6440524549333174,1.691105762260468,0.5764412722638185,1.7995717840224308,-0.04140275485307189
2,0.6717132935557777,1.7527831870651305,0.6763922737185751,1.6204081789832574,-0.04992628901276158
3,0.45777637002028326,1.4241849115196616,0.6975147814043223,1.8309631664625035,-0.03504774024173608
4,0.7017964277524122,1.4228570894595756,0.42390597231490157,2.219874347382406,-0.003340106910044748
5,0.7273933285210787,1.5809928919401208,0.5561994274323361,1.9080447760097101,-0.033180942298957974
6,0.736667988129191,1.4937434936395682,0.487568844854256,1.9559146480887124,-0.021049690145581654
7,0.5593038074871421,2.343068821185316,0.5239201074034667,2.0056114720106883,-0.021599935145919354
8,0.7220815292684343,1.185873391098571,0.5032571427707085,1.826976007376836,-0.0360256857763861
9,0.6408898886298512,1.482696845862897,0.5051345308631684,1.7899518093215938,-0.03837164153781328
10,0.6532624840030913,1.743746623537795,0.37718198624938165,2.060450250862056,-0.017437894155734244
11,0.6420629937021147,1.7862967663080056,0.700902680008351,1.6624123876841899,-0.045922345667403275
12,0.7228727236655569,1.507822312992867,0.7497173236676034,2.0093804658745253,-0.020366149919138283
13,0.5340869156325168,1.6887938278635026,0.8766387918731589,1.9068353252560177,-0.026361449026901743
14,0.3220586143028983,1.308370331104714,0.6386722224186715,1.7554211209519308,-0.04304983080669834
15,0.604821265651022,1.554975652718787,0.5958508271001154,2.0201776382104466,-0.02032567905976009
16,0.5044745521312644,1.3064223276157987,0.5873377496448549,1.7691147855117586,-0.03893163600058146
17,0.6554832486610301,1.9238887719885447,0.6110430465959674,1.8979677286919308,-0.030789838743324412
18,0.6645276618886953,1.1566115185314876,0.6640385055462767,1.6349972686644145,-0.047454556517545335
19,0.6517746916200468,1.2609764180964016,0.5585583915678747,1.950063072171528,-0.028011019686921282
20,0.5967013639077617,1.6899521779032176,0.5361369006585913,1.8927886559357365,-0.0311141971868091
21,0.704228792893993,1.432633647972647,0.46744133009472444,1.7349643992611066,-0.041653337767539274
22,0.49717830357105486,2.283341556062338,0.39140714233332136,2.250197244309662,-0.003782300490964645
23,0.5673190045239075,1.3250332769154591,0.6023617255666468,1.7691385442771324,-0.03806655616029983
24,0.3465958944000947,1.541533696930106,0.3006365250115616,1.045673076254238,-0.09241106700319131
25,0.6537362804574814,1.5793645159856222,0.579860235358513,1.8734431163657332,-0.028484226363859624
26,0.5653545429068751,1.227067612862197,0.6242155328237042,1.800167019898697,-0.03784924819352181
27,0.6184889442005245,1.6586516795713315,0.5409494518787279,1.7659388688053013,-0.037314627767799965
28,0.6321405001291995,1.9086005271338995,0.4791355694849066,2.001265874662788,-0.02378542342971275
29,0.590466305982791,1.5307783800847985,0.5101295839571223,1.8318746410762403,-0.031025603606781044
30,0.5438577172311571,1.6401668662407631,0.5299805807729437,1.7739188082069441,-0.03425537032525973
