,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.6844289150163347,0.059532077127868344,1.5728861993772942,1.644365349960903,1.6823966069892644,1.722192954345443,1.806236949667778,0.0006127727089042118
a_std,0.295151663991654,0.05167686472475857,0.21189120927934516,0.25874207856687514,0.28894038399195066,0.32483603289990437,0.41266345225723855,0.0006617073824139772
a_subj.sub-004,1.9784412635588884,0.12445071276119427,1.750233024519604,1.891156079911075,1.972426977355203,2.05950898019965,2.237349826523688,0.001546500876771154
a_subj.sub-005,1.837569508598196,0.10025373300391478,1.6539815493809764,1.7673809100004916,1.8332023938051134,1.9029478064089935,2.0443658428333253,0.0009065111793922194
a_subj.sub-006,1.8576353783514121,0.09520028262569448,1.6822824335049689,1.7916637897127174,1.8543580104834823,1.9194881861344908,2.0544459736746186,0.0009612395147356953
a_subj.sub-007,1.5146231627567086,0.08209203305813902,1.3628167020754016,1.4587538885751499,1.5108812219945253,1.5670933603063208,1.685991144848507,0.0008105720663071565
a_subj.sub-008,1.4740035045261393,0.17287370932155813,1.18897440124286,1.3532199589237672,1.456380720068429,1.573813184688281,1.867895154303576,0.002304096137187299
a_subj.sub-009,1.6824956971210205,0.11378146387859393,1.4711830452907386,1.6040589936610838,1.678218761883642,1.7563937957635969,1.9183260537481432,0.0011976902239953847
a_subj.sub-010,1.6136860749271555,0.11816709778747779,1.3991063918055269,1.53087789505501,1.6072480484709712,1.68872649888945,1.8604931368346636,0.0011651054081960586
a_subj.sub-011,2.3198583904216967,0.17530010683280334,2.016821561004644,2.1985299715414035,2.3064361291834095,2.4258620318204147,2.6995553906945213,0.0017761154568754788
a_subj.sub-012,1.3667932614622589,0.08658079790634585,1.2045780765121368,1.3076904820100541,1.3637740315336302,1.422393569202094,1.5458551215500913,0.0009297826399705977
a_subj.sub-013,1.69454066844888,0.09996646475255568,1.5085332127051923,1.6262768897936903,1.6908662725140036,1.7609306994070344,1.8990502414575934,0.0009343280448586889
a_subj.sub-014,1.8026333302140347,0.14895108041374322,1.5364752685675656,1.697471394695271,1.7953966637729653,1.8967008702047317,2.1197032770014625,0.001626785264235806
a_subj.sub-015,1.9546531651772248,0.11035068786533625,1.7485140055165906,1.8792154870776236,1.951068004426348,2.0271945767076702,2.1790271678192017,0.0011126944949694513
