,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.6061447786727518,0.05360417470964156,1.504483841499013,1.5695490943382584,1.6051780453394164,1.641557801540142,1.7151814020267944,0.0013677062778318972
a_std,0.2576656358147313,0.043326483687689654,0.18817163883816623,0.22648628411941343,0.25299845860614373,0.28395021518481733,0.3544287176416475,0.0010784753250612552
a_subj.sub-004,1.7968628231791322,0.11015004343804728,1.5922925874646037,1.719074557079466,1.7920771376055131,1.86945170274598,2.023790956463833,0.0021845363196817125
a_subj.sub-005,1.8118821671343779,0.10686881302629354,1.6184246743833623,1.7389273218268864,1.8073400983100392,1.879770421436215,2.0330544649852147,0.002095811499896552
a_subj.sub-006,2.0233582449099257,0.13262354668133255,1.7885340029549535,1.931755798412052,2.014112681398373,2.1074655163530656,2.3081674688056735,0.0034596628495836223
a_subj.sub-007,1.7248950681354451,0.12287387014068223,1.5009318894447201,1.6400837506996797,1.7200830656705326,1.8016016724835597,1.9906980297257226,0.0029693989450970625
a_subj.sub-008,1.3297136972561878,0.1460994880869486,1.0651601903054406,1.2271023300380022,1.320518799209682,1.4255630650118243,1.6315797999306154,0.002953995736463381
a_subj.sub-009,1.6044620681196349,0.11100439330835667,1.399150280400316,1.5278407954144881,1.5978826565576902,1.6792348677134714,1.8339006093348913,0.002210850522675668
a_subj.sub-010,1.5070997346937263,0.1081755425985699,1.3099230140113065,1.432790671761934,1.5017809235017405,1.5743855528399966,1.7367263883027633,0.002035369223869575
a_subj.sub-011,2.1063344258003687,0.14410059335342584,1.8457505945281756,2.0064768447090153,2.097908641706366,2.198002714231455,2.4114059251347744,0.0030120574367999906
a_subj.sub-012,1.2924203321559007,0.08666154489368297,1.131080898674115,1.2312205150592044,1.2905314812382604,1.3493080947095182,1.4705025594445167,0.002307335625454706
a_subj.sub-013,1.5934800609452402,0.0951791121914742,1.415146633308167,1.5282842219315613,1.5907599270897053,1.6567911067441556,1.7857196089542235,0.002116117083864863
a_subj.sub-014,1.6530436412885,0.1362107775714818,1.4025843778028175,1.5611821419554555,1.646881658414539,1.7389340324679492,1.9406559979137092,0.00276821802756863
a_subj.sub-015,1.8850334236991149,0.11301174543833034,1.6728239517123524,1.8104916493988799,1.8833531013327178,1.9552180436864353,2.1231290175791933,0.002577466164958644
a_subj.sub-016,1.5720862739386394,0.11858322755966709,1.3536531247847838,1.488806123882318,1.570349148151595,1.6507185540289506,1.8113361203674287,0.002404173148126327
a_subj.sub-017,1.6879920786398157,0.09841356466362819,1.5046925894945122,1.62027367402795,1.6821194722921575,1.7523456182328134,1.8933825395925221,0.0021405749290965806
a_subj.sub-019,1.4504120148605044,0.09332368733249954,1.2735472061904503,1.3867318981656873,1.4481550307621018,1.5114863985748777,1.6383595197781613,0.002439692947179028
a_subj.sub-020,1.5170270616717032,0.09640221501155624,1.3407969675970512,1.4495275224896635,1.5123632562909386,1.5806662270437706,1.720233339176001,0.00205676664409019
a_subj.sub-022,1.4475973217325557,0.0928701024078943,1.280764590933432,1.381568619382111,1.4427827402572593,1.508309180100236,1.6409275656329023,0.002069569546690471
a_subj.sub-023,1.8854763197199353,0.12660715421500063,1.6563704418401164,1.7952416006564873,1.882865432848524,1.966131289201857,2.145723150713732,0.002498624719528303
a_subj.sub-024,1.1936008678597545,0.07905581896984316,1.0480403775677458,1.139770805921353,1.1881527187530923,1.2454933733453135,1.3573362965627505,0.002178346282065222
a_subj.sub-026,1.244149883773357,0.08378918202480891,1.089184035581687,1.186591315233786,1.240352561603794,1.2984062163907688,1.4154070943684538,0.0016714027291590571
a_subj.sub-027,1.673660650334104,0.09580526942979357,1.4970615005316124,1.607215794996676,1.6709172339435205,1.7330434254426863,1.876379512595607,0.0018891314462432158
a_subj.sub-030,1.4687203875310004,0.08601577878016496,1.3071396518970495,1.410252965895371,1.4652612739815947,1.523908466465186,1.6462104415485093,0.001611479636928041
a_subj.sub-032,1.6621893494223003,0.15206460853647444,1.3958116841067831,1.5562735306640827,1.6509561449809391,1.756628767098824,1.9975663323699289,0.0033064878223930338
a_subj.sub-033,1.4236415623460725,0.08811082336101099,1.2642794694356034,1.3620894236069467,1.4187995861623262,1.4808852024234052,1.6102973713040063,0.002108622305767056
a_subj.sub-035,1.415551987019398,0.13295204882153724,1.1877111827382065,1.3242626552328327,1.4042512157913967,1.4919531215978679,1.7080705172304813,0.0031787668914330753
a_subj.sub-037,1.6264116739235857,0.09733321725617758,1.444860284057818,1.5601358021542109,1.6235435233134616,1.6922536541416995,1.8232208519561923,0.0019329458443248545
