,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.663278479133767,0.07002309050886195,1.5358007260781044,1.6161293433788235,1.660396195310173,1.7074539119729761,1.8104897917650042,0.0007337979681691585
a_std,0.34989041168244533,0.061945676394947025,0.24963692758223743,0.30684645225664053,0.3427956851585453,0.384457973365944,0.4943313734950815,0.0009272111326242803
a_subj.sub-004,2.108940303467693,0.15742220819711483,1.8315541082673579,1.9983895888553842,2.099002555376979,2.2085208085254986,2.4435826264335674,0.0017002403695779498
a_subj.sub-005,1.9604951465549176,0.12359992897310335,1.7379644473387954,1.8743898017848246,1.9537841381969825,2.0402891178003992,2.2200227196889473,0.001466076105367792
a_subj.sub-006,1.9714524900420998,0.11174854580630252,1.7670393174147676,1.8927460122954283,1.9678866248715527,2.0439124816367618,2.2037537441003643,0.0011315194078219998
a_subj.sub-007,1.5743980776680575,0.08900589533882583,1.4108436469748344,1.512730642049004,1.5699305952794238,1.6321808412168821,1.7597448273199245,0.0008893517811253031
a_subj.sub-008,1.4123819403315938,0.16007352936888344,1.1540781264956446,1.3022464196165189,1.3930920094860504,1.5009492576206411,1.7788712845055015,0.001908910586761809
a_subj.sub-009,1.7895474990595994,0.13429705711286086,1.5456961993782135,1.6960628528400234,1.7823312848567578,1.875872463964671,2.0720230241744715,0.0012858231297916806
a_subj.sub-010,1.5244250664809558,0.10604855076142361,1.3308182173934575,1.4502718434027164,1.519556624398067,1.5930008909678477,1.7458063166588182,0.0008650579998276091
a_subj.sub-011,2.4012273879156227,0.2002662112271314,2.0630112142799337,2.2613259021428878,2.3818224224099334,2.521557157885516,2.8503631536216885,0.002843876066409657
a_subj.sub-012,1.237168699500098,0.07616466739138268,1.095129142121931,1.1846508695291869,1.2350860085455784,1.286833801178266,1.3942666998811635,0.0006751887368558276
a_subj.sub-013,1.5007270883009225,0.07943882946593182,1.3500388794524145,1.4468077247697413,1.4988705095085186,1.5531644163511134,1.661844080237501,0.0007494232432825762
a_subj.sub-014,1.7731767045406293,0.150243896406153,1.5127254666038024,1.6672842326834605,1.7613106916273433,1.8665336452845276,2.100242849806702,0.0018144105219670681
a_subj.sub-015,1.8558481800880708,0.10586157195536312,1.6546880344306938,1.7835606162908133,1.853694877625259,1.9268133349284502,2.066977904869897,0.0010907884863893516
a_subj.sub-016,1.5514041700006411,0.11152100851479838,1.3479173088536731,1.4734638584809232,1.5449829184602883,1.6234960071562672,1.786493999904617,0.001104566909798294
a_subj.sub-017,1.7318346122791841,0.09962392410419622,1.5503766445473979,1.6623123628588528,1.7277149864815022,1.7967778815967126,1.9410799323769838,0.0010266691116000857
a_subj.sub-019,1.3063414937124718,0.06706358133311285,1.1820789751448268,1.2599008129588503,1.303786039085981,1.349933424257,1.444828618341742,0.0006318881661870214
a_subj.sub-020,1.6544399953657136,0.10567968236050757,1.4612873617579873,1.5805806158746116,1.6487163565418825,1.7226049521110793,1.8767497011874044,0.0010250306408340995
a_subj.sub-022,1.320394313116146,0.07139686996409217,1.1880634560153256,1.2710560459335591,1.3181378132321835,1.3676356318120029,1.4671976124267478,0.0007859839641921193
a_subj.sub-023,2.0066398665836553,0.14060304700641532,1.7560491871967197,1.9089734654408295,1.997936357089126,2.0951261896706055,2.3106885989393895,0.0013185429842107897
a_subj.sub-024,1.1647601065295639,0.060280927930809164,1.0520339464460977,1.1237106840873077,1.1627225062479452,1.2044327144369837,1.2885454065983595,0.0005511308649716412
a_subj.sub-026,1.284687264879731,0.07639267497465858,1.1433643394865698,1.231891279134375,1.2806398555188148,1.3335242875052584,1.4451364854021809,0.0007054448936952942
a_subj.sub-027,1.7575620077747693,0.10033238891519643,1.5694342043666327,1.6886664349211484,1.7538086310240384,1.8232405319921827,1.9650202314849956,0.0009500873841151961
a_subj.sub-030,1.4859216834222604,0.0830971440226323,1.3319885517665697,1.4279098112551762,1.48299238158195,1.5403887555811422,1.6556901759114362,0.0007154272743193008
a_subj.sub-032,2.452402712791796,0.37055753147869813,1.9004619508282827,2.190994880016783,2.3935974105065774,2.649870540078814,3.3407399045002437,0.008977769892106729
a_subj.sub-033,1.3282287163734847,0.0687137713420282,1.1978356872606872,1.281145384756497,1.3266324866265815,1.373551745193211,1.4682471466476192,0.0007021038310156642
a_subj.sub-035,1.557867928820601,0.13977515224950637,1.3171632964750652,1.4606423141411,1.5459072879554994,1.6415938262250929,1.8687084686118736,0.0020526670121875255
a_subj.sub-037,1.6375017782277175,0.09694968589589699,1.461433205280264,1.5699409169184066,1.6335088579036487,1.6998032646910421,1.839602192005485,0.0007891135330056044
a_subj.sub-042,1.2324962409844642,0.0664148044900346,1.1081008429749137,1.186244613306186,1.2306040744373767,1.2761830524151012,1.3689943900569994,0.0006471388968188235
a_subj.sub-043,1.6883924809934716,0.08771737974380393,1.5224177558625271,1.6282346184003882,1.685980047431323,1.7459897392163506,1.8671591240158798,0.0007082771151336654
a_subj.sub-044,1.9763241209481486,0.13547716232309223,1.7329945471193302,1.883243899808738,1.9684909629479137,2.06099135012162,2.263302630951411,0.001444522523804509
a_subj.sub-047,1.558047927881608,0.07667244697719225,1.4160811383298302,1.505456017487144,1.555132891145897,1.607284114113913,1.718384141370682,0.0006920400992458724
a_subj.sub-048,1.6384982082712025,0.0786273573091889,1.4917586772267932,1.5839725384581715,1.6359561851088225,1.6903652896880221,1.7998454493556502,0.0006540610464036837
t,0.5710066627773999,0.02586097751738971,0.5209601881624356,0.5537653161413619,0.5707992906179632,0.5878939643049967,0.6229167656698217,0.0003895242076143289
t_std,0.12618005878001093,0.019588341020531412,0.09457499357557435,0.11239855660111008,0.1237616031666481,0.1373287739104309,0.17119762197179558,0.0002351373655038261
t_subj.sub-004,0.5674158921481417,0.03605957074703992,0.4891256344385281,0.5450520882135339,0.5699486903899514,0.5926103912377331,0.6307453970082585,0.0006277092733703415
t_subj.sub-005,0.5807650812202377,0.030288756591323282,0.5165388831868092,0.5611009748828923,0.5827628787032415,0.6021685319944221,0.6349617973383996,0.0005787354982505792
t_subj.sub-006,0.6736892634043431,0.0318829480701304,0.6058670792986777,0.653117269666292,0.6758548745318611,0.696783934173316,0.7288103515691601,0.0005241672895142837
t_subj.sub-007,0.6944050615235488,0.026193105050387275,0.6396226409852073,0.6774057672761199,0.695715916593604,0.7125626623866539,0.7424009481529965,0.00034829690653105855
t_subj.sub-008,0.43313194369639263,0.021266650832079292,0.38700078792070863,0.41982059434069185,0.4345301991521524,0.44798338509604174,0.4708608645197661,0.0003997736509384579
t_subj.sub-009,0.5470613913013096,0.029000197183654146,0.48569190308863036,0.5283022970867418,0.5486452792232844,0.5671673008540873,0.5991591210083811,0.0005188608344463768
t_subj.sub-010,0.4925578127179241,0.026079825582470743,0.4369021183786469,0.4758964528131903,0.4943882131675902,0.5111656558439973,0.5382113276738343,0.0005212617545268525
t_subj.sub-011,0.5382928260011801,0.043359603825426064,0.44428221866472317,0.5115556866944019,0.5411938384540591,0.5685318670038844,0.6144233352731518,0.0007898737234038339
t_subj.sub-012,0.5151394221452277,0.021617671362558835,0.47027827569423103,0.5010823420933928,0.5159347767162258,0.5302302797685181,0.5550268336564603,0.0003942272111135129
t_subj.sub-013,0.5159562915418259,0.025967117623357426,0.46071767394159713,0.4993323969799329,0.517438255297747,0.5341956045300118,0.5627226522552767,0.00039650151054933865
t_subj.sub-014,0.37975979616905897,0.02878620359553371,0.32254472168719106,0.3596710303945168,0.3798439981272581,0.40105416096153984,0.4322326955413266,0.0005776864257324064
t_subj.sub-015,0.7227370360038051,0.04294481255191994,0.6513112779415294,0.6935917468308361,0.7155763004025748,0.7471197354972865,0.8165286998317342,0.0006455794113871165
t_subj.sub-016,0.7496514299464447,0.020363191953415835,0.7074187235139433,0.7381908454887596,0.7506724026962939,0.7618407584580663,0.7870829899449802,0.00038333208627415753
t_subj.sub-017,0.8901469783474047,0.03354582215658295,0.8209514674912224,0.8689908456467977,0.8916325896631048,0.9129687752620824,0.9522467318700185,0.0005117822910359982
t_subj.sub-019,0.6490267844486859,0.01949988147844189,0.6014797870953579,0.6387108352831691,0.6515184785987513,0.6624810450700067,0.6798452876695058,0.0003543002428948481
t_subj.sub-020,0.5996227810439227,0.024453845620307,0.5500796710500649,0.5844340224475842,0.6005994997441902,0.6152132867828255,0.6447002918847594,0.00041515856862483336
t_subj.sub-022,0.596503809726239,0.025243797972695717,0.5439714035945022,0.58000053483561,0.5976739975792846,0.6140037571450166,0.6426062644476499,0.0004036516502007867
t_subj.sub-023,0.6209111965528996,0.03284900117925865,0.5491482109890095,0.6005397620306208,0.6231770959685191,0.6438901345228271,0.6781379069229757,0.0005779876917786179
t_subj.sub-024,0.6726423108202813,0.015372034607809861,0.6412941352641052,0.6630743856321492,0.6730945700311519,0.6823368368414642,0.7017772599121126,0.00025648219817392545
t_subj.sub-026,0.5659826442289565,0.019225901249931305,0.5247783992677049,0.5538434204613624,0.5674734917297551,0.5794565940048928,0.5996105236779583,0.00033431194712497177
t_subj.sub-027,0.5497804675170067,0.03075214534077722,0.4888171079181208,0.5303211934567016,0.5499610459077464,0.5690530633378786,0.6136880344297333,0.0005129955392473952
t_subj.sub-030,0.4748430738503542,0.01975871714233353,0.4322489690896345,0.4627980168954226,0.4762869827414305,0.48826445388733514,0.5101536156676167,0.000364872737303029
t_subj.sub-032,0.39687131273235027,0.04469215557596573,0.30296801032408766,0.3674987426505422,0.39897399307538306,0.42882248381623367,0.47637950948750224,0.0010049553022345205
t_subj.sub-033,0.615760124223005,0.02428852696876923,0.5699520609969254,0.5998073710446672,0.6148605800363853,0.6306201899434968,0.6668097229029932,0.0003042060256762611
t_subj.sub-035,0.30724671616868404,0.03179082672827307,0.2409145583989305,0.286321549492529,0.30896422737492873,0.32968519000433066,0.36463871201128456,0.0007102888410077666
t_subj.sub-037,0.5906808103537114,0.030929969682102116,0.5265562716997828,0.5702786802581851,0.5923147782205977,0.612611872104998,0.6458167724021328,0.0005833779733694827
t_subj.sub-042,0.6373673323644834,0.02286950837106787,0.5891126611912167,0.6225377845990434,0.6387019407171967,0.6535649525028976,0.6783222273867175,0.0003258668348475799
t_subj.sub-043,0.5568658306240358,0.03212485839317882,0.49065482734318416,0.5359222973926302,0.5579568264605373,0.5796235021819329,0.615666093789437,0.00047899796345795225
t_subj.sub-044,0.49159614653048667,0.03542018379299688,0.4149069829182391,0.46930086191864834,0.4941192640969283,0.5169024826870839,0.5537121157112602,0.0007594793035988477
t_subj.sub-047,0.5207492916125418,0.024027964428186385,0.47023094485098205,0.5058644690182527,0.5216730351481463,0.5368512713811227,0.5656366110281041,0.00038974766092112357
t_subj.sub-048,0.5452281109775221,0.028366677454157725,0.48752094404625895,0.5264943192384178,0.5461362829938362,0.5650677866424226,0.597930418460113,0.0004031165871677832
sv,0.11165065319015793,0.08306335470198774,0.004138493779993025,0.044760346706686126,0.09556981665082477,0.1615149271536392,0.30726189742896054,0.0008996504477304602
sz,0.27455104202650477,0.10405204386830821,0.02994340698188442,0.21482159359834638,0.2939098024017167,0.3520841461346473,0.4299136800366865,0.0028609853837887602
st,0.26866445218258617,0.014219613420775552,0.2411997978637653,0.25911815963765306,0.2685375415802154,0.2778092873476989,0.297029300307608,0.00028861843860656495
z,0.6134540846781787,0.015748840087698307,0.5829591356164491,0.6027885647187536,0.6137562023232361,0.6241278324139347,0.643835326459425,0.0006675442639670628
z_std,0.3007732452943778,0.028538089326380914,0.24654126522930953,0.2813883145077072,0.3002561477349202,0.3199752388064754,0.3581613099663949,0.0004896675688975664
z_subj.sub-004,0.6084167522808721,0.0411611609749825,0.523802094778984,0.5818547371042642,0.6092182333584204,0.6372012133025906,0.6860906250356522,0.0017751822849494821
z_subj.sub-005,0.6589423808248719,0.034779676807365996,0.5875738507909005,0.6365838903450317,0.6596747845361346,0.6827438563422525,0.7234949377436851,0.001285364658714531
z_subj.sub-006,0.6627891886904325,0.034035584467110185,0.593491920116745,0.6405264324698015,0.6629777832281483,0.6860076596897648,0.728386665296719,0.0012074220738109193
z_subj.sub-007,0.4890591398578776,0.033384573381209655,0.42485062284199177,0.46638969420491416,0.48911999388339905,0.511790222248168,0.5552803893919144,0.0009980497855172506
