,z_subj,a_subj,t_subj,v_Intercept_subj,v_STA_TAI_Score_subj
0,0.6094791444522448,1.8669511547957125,0.5697929978946544,2.1217778657270654,-0.02039538803800251
1,0.6419908883439752,1.6886688706645265,0.577722972369334,1.8356032486286669,-0.040057676741409205
2,0.6649664164962312,1.7527567177398298,0.6796662900628123,1.6871425891013097,-0.04900550128553952
3,0.46370887950195255,1.4197640898597812,0.6991577776048914,1.8872740863041866,-0.033301524314735244
4,0.692976751242551,1.4055374806261878,0.427018487634761,2.265361574748888,-0.006393400557187194
5,0.7346454302815842,1.5854984423655363,0.5551906427431798,1.9201838934199245,-0.03405168514712276
6,0.7447284707452334,1.490647172597184,0.4885239454858839,2.0488058488628265,-0.02275460106344545
7,0.5622891609359699,2.350721546130804,0.5206817532918195,2.00607276273655,-0.02445079166323131
8,0.7150529966871043,1.1879548411727667,0.5028410958137703,1.8832288626233225,-0.03155377887298926
9,0.6307652026799668,1.4872987160661617,0.5036554073489496,1.8801548032962623,-0.03461594032189734
10,0.6337220441920112,1.7446749035899223,0.374140972403304,2.133494255311298,-0.01852525483640757
11,0.6385190926351387,1.7822873169538969,0.703079413886923,1.7044900836126646,-0.05074625863215426
12,0.7345247212477045,1.5111642151845806,0.7506832118441729,2.0453945730534304,-0.021450042972002877
13,0.5425247781616324,1.6906343769026382,0.8788011922682628,1.9367995599781382,-0.03127370160782931
14,0.32783628821203253,1.3066666065538037,0.6386775137959423,1.8604224253593649,-0.03557262044604588
15,0.5964407124179233,1.5553438639263049,0.5958948427624904,2.1340441359377653,-0.01994801596486926
16,0.5062534578403461,1.304873929220422,0.5881952169701008,1.8856476489017044,-0.03564355724587777
17,0.6696316790819397,1.9148839051353799,0.6146761790154794,1.9458130362562152,-0.029862010975220444
18,0.6649548869315199,1.1569969904685609,0.6652330135365954,1.7145634941636967,-0.04607758621652095
19,0.6479786515743515,1.2682755875081737,0.5567919414174598,1.995505853502283,-0.02624962256162842
20,0.5942359189775761,1.6901380133400672,0.5355834486441837,1.9840454588916003,-0.028397476806737678
21,0.7051280195881207,1.4346418527623588,0.46701212922898283,1.7916581016099689,-0.041129550179933756
22,0.5031762019448486,2.2605775284790166,0.3930134767714556,2.2928521985288173,-0.004341724153537653
23,0.5608162057358638,1.3260727451813088,0.6022737526490288,1.8567629919441064,-0.03715834318596502
24,0.35895634948807165,1.5315364591124112,0.3030708496683073,1.0880602163205193,-0.09290885669892297
25,0.6526163748463522,1.587969689867621,0.5787940526745687,1.9118573373880166,-0.03274942561894687
26,0.5770277645767469,1.2264802204624798,0.6240408100965138,1.8440277619584216,-0.03793531020763214
27,0.6174922541882641,1.6614216500430943,0.5385077884335387,1.8433768376178337,-0.037130603417957625
28,0.6339746938203376,1.9153258271333404,0.4755260614490954,2.046560450938303,-0.022005009453556375
29,0.5952738184665755,1.527199228066317,0.5125653826511085,1.942936647229621,-0.029695817599667634
30,0.5460773573560307,1.6388838580557277,0.5313074344866798,1.8456686877310502,-0.031280887728782125
