,sv_subj,sz_subj,st_subj,v_Intercept_subj,v_STA_SAI_Score_subj,t_Intercept_subj,t_STA_SAI_Score_subj,a_Intercept_subj,a_STA_SAI_Score_subj,z_Intercept_subj,z_STA_SAI_Score_subj
0,,,,2.0617872864941216,-0.01984603049395041,0.46825180493661156,0.0019022542409175352,1.7782305213666267,0.001465522349089746,0.4930819189745076,0.0024046626228739886
1,,,,1.6263566967151923,-0.036830038500863,0.5031078872365299,0.002335639805493732,1.6942866004420252,-0.00034849872337194425,0.4928436542044238,0.0049338411252245265
2,,,,1.4108688412276076,-0.04418411548677494,0.6008713822138623,0.0027249605374905527,1.7168876895032372,0.0009239879884209351,0.493246489103066,0.0065879335913060005
3,,,,1.7595082519091196,-0.03136003147936949,0.5790995175457921,0.003024710573700958,1.576492454744469,-0.0038758005476617905,0.49241329393195704,-0.001024526777424604
4,,,,2.247829771185429,-0.01241716657201187,0.38410609812751284,0.0016774222576515776,1.5713273441410338,-0.0035319429931773643,0.49113580341639623,0.007668055541659963
5,,,,1.7152563764045095,-0.03233419310560263,0.49790935946467446,0.0023424011395774373,1.6468680903302353,-0.0012747717828721918,0.49372012666697157,0.0089452032311694
6,,,,1.8515611344264449,-0.024461554196916254,0.4257168763683976,0.0017358095059305594,1.6479173505609814,-0.0024229217724035155,0.4932222987569121,0.006114893831360874
7,,,,2.0163045968795505,-0.02150093608601936,0.4526428830333376,0.0019280573097462906,2.0329013363292128,0.007047838724800515,0.4925059553533739,0.0019057230929505756
8,,,,1.6122663324556752,-0.0359935514771418,0.4561976483988764,0.001543562870329282,1.477132748848633,-0.007052327828374763,0.4936798523519069,0.006699559702299365
9,,,,1.6292031762093933,-0.03487257984358951,0.42821279348727803,0.0019467558571036622,1.5998018753248335,-0.0029127643083564463,0.4932052399088499,0.004009216346312327
10,,,,2.076368896566244,-0.020734759688637496,0.3527415136213463,0.001113447565277268,1.7118133629401395,0.0006865094203791306,0.49387378520904324,0.006245681305403435
11,,,,1.5093583485800837,-0.04096023387512376,0.6265675518613615,0.0026923482532576672,1.7426592839085067,0.0010933317486007644,0.493286650767908,0.005644065749094538
12,,,,1.8336458473384192,-0.02771970913522919,0.6394922475077949,0.003288417984285903,1.6486526834939137,-0.001902448711715771,0.4944924475359502,0.006810097295060197
13,,,,1.8892281474083341,-0.025049003092300137,0.7216901217328525,0.003474555309645374,1.704408370355782,-0.0003423004486090074,0.49190125564060944,0.001060794160933994
14,,,,1.7258033264405488,-0.033425789656204685,0.5823946250100726,0.002645640482013176,1.4739775220578888,-0.005649461116534604,0.4920731080776079,-0.007161176695861738
15,,,,2.006323564203296,-0.020347104414572072,0.4934053379014724,0.002101063359604034,1.6582099328413398,-0.002212448501801136,0.4928784537194005,0.0025702758236403715
16,,,,1.6560697889818163,-0.033759611915636915,0.5115158882227383,0.0023371396058129114,1.4856354722447846,-0.005475222430073157,0.4943473053566552,0.0003128726218612902
17,,,,1.8289327922028216,-0.029522316612922657,0.5465644563393558,0.0024446302603985414,1.8156483765306184,0.002872289677401663,0.49420231425967925,0.006183662122046367
18,,,,1.417096828030204,-0.04266618919120397,0.5560070800929814,0.0031949431283988805,1.4172119761933555,-0.007517186968782019,0.49327253288922546,0.005654260296897049
19,,,,1.8561505593003986,-0.02760469029538803,0.481789353545954,0.0020561826984151666,1.4966981071427596,-0.005822399064987107,0.49341717421117476,0.0047858371583003375
20,,,,1.7906981199002032,-0.028417966712666037,0.4641605235598957,0.0018873747949553863,1.696007173399537,-0.0003646875364954903,0.4919142388076375,0.003099150437963263
21,,,,1.5173060844134931,-0.03815985836871024,0.4167293626175866,0.0018131431383693868,1.558119119441782,-0.003644865032029101,0.4927432443945981,0.007322057832153225
22,,,,2.370574210030356,-0.00665467106453076,0.3491055073528783,0.0011703768214587531,1.9821970504040205,0.005634600138733526,0.4933310200713407,-0.00033615274798984464
23,,,,1.6285089282725167,-0.03368010366941095,0.5115682397875237,0.0022492260441256432,1.532443180804986,-0.005163144581159118,0.4922447007017142,0.0017219318238200772
24,,,,0.8100771803909661,-0.06803780097342182,0.3254675467826623,0.0008476772894238406,1.6390321736685325,-0.0017553165297439083,0.49100384685376575,-0.007827437289971517
25,,,,1.7857998813923455,-0.02854213375466822,0.4942392335686216,0.0022786362909799447,1.653992539412948,-0.0017668564858551662,0.4932161335735656,0.004826142039624695
26,,,,1.6690023513361507,-0.03345301016135263,0.5424767631995823,0.0022226586016884254,1.4663653850335172,-0.006543297092167707,0.49135089925247216,0.0023510914348813194
27,,,,1.6545027303263544,-0.03439785988136,0.46696200662831305,0.0020577540663093115,1.6805783323325085,-0.0007887885237330834,0.4934665507124131,0.0037697068017462166
28,,,,1.926366279745379,-0.0229138701698479,0.4139003375629064,0.00179161863419178,1.8029104403316807,0.0024277288930770725,0.49250325135097067,0.00409559891733324
29,,,,1.774857767428206,-0.02964404460334685,0.4350941746295253,0.0016334767760739467,1.633052708120862,-0.0023621795490047248,0.49237644985925294,0.002264169182099147
30,,,,1.7280592078436752,-0.03255784363487761,0.4442839321840035,0.0019602878366040853,1.677056372160275,-0.0010336851707277927,0.4933936999933135,0.001147205732447303
