,v_sv_pain_para:C(Abs_value)[low_abs]_subj,v_sv_pain_para:C(Abs_value)[mid_abs]_subj,v_sv_pain_para:C(Abs_value)[high_abs]_subj,t_sv_pain_para:C(Abs_value)[low_abs]_subj,t_sv_pain_para:C(Abs_value)[mid_abs]_subj,t_sv_pain_para:C(Abs_value)[high_abs]_subj,a_sv_pain_para:C(Abs_value)[low_abs]_subj,a_sv_pain_para:C(Abs_value)[mid_abs]_subj,a_sv_pain_para:C(Abs_value)[high_abs]_subj,z_sv_pain_para:C(Abs_value)[low_abs]_subj,z_sv_pain_para:C(Abs_value)[mid_abs]_subj,z_sv_pain_para:C(Abs_value)[high_abs]_subj
0,0.0015952046627892534,-0.001364902725322928,-0.020153965547056278,8.585833483471689e-06,-4.1358052608641835e-07,-9.369489924815399e-06,-0.0011908960025909573,7.7823402716648e-05,0.00011321399243419518,-0.18949717199722804,0.0005223268882377177,-0.010738891850066391
1,0.0010673694821045749,-0.0019014307522161559,-0.05967850974434849,9.920615639973211e-06,-4.087430811496942e-07,-2.6167494361353105e-05,-0.0012619169688178435,6.303982331045604e-05,0.0001566878182890797,-0.23759894813287732,2.1250863130906894e-05,-0.010940601142097382
2,0.0021601071481409106,-0.0006752773622266264,-0.06279819028034196,9.137336323479316e-06,8.930461605813311e-07,-9.58230206457098e-06,-0.001157279110894491,6.157249385276772e-05,0.00015271385207327913,-0.19513990809395457,-0.0019425732552589242,-0.010475508779369092
3,0.0028256380798683065,-0.0012118838530862579,-0.0029596087223292687,8.844899736303247e-06,-1.9317383015960282e-07,-2.1217680431377482e-05,-0.001228857538662221,6.832059096250546e-05,0.00011719174768232867,-0.18919398947382457,-0.0009387458595443839,-0.011666433206916196
4,0.000481626048019891,-0.002647076374643303,-0.03322148281334874,9.241643428390847e-06,-3.2374699809941275e-07,-2.5172869940882642e-05,-0.0011885493821463821,6.23717700636117e-05,0.00015166619376805822,-0.21347564264385788,-0.0005938532939640835,-0.00978826219752514
5,0.001734605736209878,-0.003154734422735743,-0.07776198969695519,9.467794239732402e-06,-5.458415246504107e-07,-1.6649128901761273e-05,-0.001201712556944382,6.901928656524693e-05,0.00013796633225945552,-0.20552583660604445,0.0006820021757509044,-0.010411353735092957
6,0.0009214671147805695,-0.0035008180273985653,-0.048743826659580006,7.603191600188233e-06,-6.086064754120418e-07,-1.6643095719281205e-05,-0.001220415486023717,6.103445663403657e-05,0.00015697486140792203,-0.22167684391466955,-0.0014785465877796685,-0.010206884787649915
7,-0.0020238999427893184,-0.0034564262683221686,-0.014965437179622247,8.066212319099168e-06,1.5526513790737693e-07,-2.7559749884173103e-05,-0.0012290053648558175,6.731012777114497e-05,0.000143768050136045,-0.2702505563924693,-0.0009721540675502677,-0.01105642711435
8,0.002983338081872376,-0.004036734218697352,-0.053866428191299644,8.641628695360789e-06,-9.887522406896385e-07,-2.0969184965348463e-05,-0.001182178908712423,5.471068464765162e-05,0.00013904355850056436,-0.23846368097450069,-0.001359689852785966,-0.011556182737930522
9,0.000901437326477261,-0.0023263747212113484,-0.044558812174415825,9.965462280242119e-06,-1.4984976998291412e-06,-2.1701334140602717e-05,-0.001211795945678042,6.580116661902384e-05,0.00015185023677465775,-0.21826464711491703,0.0010022732219368672,-0.011106154675468115
