,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[4072],0.998,0.002,0.994,1.0,0.0,0.0,29172.0,18225.0,1.0
p_pain[4073],0.989,0.009,0.973,0.999,0.0,0.0,24657.0,16662.0,1.0
p_pain[4074],0.833,0.037,0.763,0.901,0.0,0.0,24091.0,16499.0,1.0
p_pain[4075],0.999,0.001,0.998,1.0,0.0,0.0,23844.0,16188.0,1.0
p_pain[4076],0.731,0.036,0.665,0.8,0.0,0.0,36560.0,19072.0,1.0
p_pain[4077],0.964,0.02,0.928,0.994,0.0,0.0,33882.0,18185.0,1.0
p_pain[4078],0.967,0.023,0.926,0.997,0.0,0.0,37360.0,18786.0,1.0
p_pain[4079],0.809,0.036,0.74,0.876,0.0,0.0,26972.0,17599.0,1.0
p_pain[4080],0.998,0.003,0.993,1.0,0.0,0.0,23858.0,16153.0,1.0
p_pain[4081],0.23,0.111,0.051,0.442,0.001,0.001,18124.0,9280.0,1.0
p_pain[4082],0.999,0.001,0.997,1.0,0.0,0.0,25754.0,17268.0,1.0
p_pain[4083],0.992,0.007,0.979,1.0,0.0,0.0,30849.0,17833.0,1.0
p_pain[4084],0.531,0.072,0.391,0.662,0.0,0.0,22895.0,11286.0,1.0
p_pain[4085],0.865,0.068,0.737,0.97,0.0,0.0,33661.0,16898.0,1.0
p_pain[4086],0.992,0.007,0.98,1.0,0.0,0.0,35774.0,18503.0,1.0
p_pain[4087],0.99,0.008,0.976,1.0,0.0,0.0,23884.0,16153.0,1.0
p_pain[4088],0.93,0.028,0.879,0.977,0.0,0.0,29525.0,18091.0,1.0
p_pain[4089],0.983,0.011,0.963,0.999,0.0,0.0,27437.0,17724.0,1.0
p_pain[4090],0.997,0.003,0.992,1.0,0.0,0.0,24416.0,16463.0,1.0
p_pain[4091],0.996,0.004,0.989,1.0,0.0,0.0,26369.0,17640.0,1.0
p_pain[4092],0.85,0.046,0.768,0.934,0.0,0.0,37359.0,18976.0,1.0
p_pain[4093],0.999,0.001,0.998,1.0,0.0,0.0,24278.0,16426.0,1.0
p_pain[4094],0.996,0.004,0.989,1.0,0.0,0.0,26369.0,17640.0,1.0
p_pain[4095],0.85,0.046,0.768,0.934,0.0,0.0,37359.0,18976.0,1.0
p_pain[4096],0.731,0.036,0.665,0.8,0.0,0.0,36560.0,19072.0,1.0
p_pain[4097],0.998,0.003,0.993,1.0,0.0,0.0,23858.0,16153.0,1.0
p_pain[4098],0.967,0.023,0.926,0.997,0.0,0.0,37360.0,18786.0,1.0
p_pain[4099],0.992,0.007,0.979,1.0,0.0,0.0,30849.0,17833.0,1.0
p_pain[4100],0.989,0.009,0.973,0.999,0.0,0.0,24657.0,16662.0,1.0
p_pain[4101],0.576,0.131,0.336,0.82,0.001,0.001,23303.0,11255.0,1.0
p_pain[4102],0.964,0.02,0.928,0.994,0.0,0.0,33882.0,18185.0,1.0
p_pain[4103],0.809,0.036,0.74,0.876,0.0,0.0,26972.0,17599.0,1.0
p_pain[4104],0.952,0.023,0.91,0.989,0.0,0.0,25171.0,16584.0,1.0
p_pain[4105],0.99,0.008,0.976,1.0,0.0,0.0,23884.0,16153.0,1.0
p_pain[4106],0.23,0.111,0.051,0.442,0.001,0.001,18124.0,9280.0,1.0
p_pain[4107],0.999,0.001,0.997,1.0,0.0,0.0,25754.0,17268.0,1.0
p_pain[4108],0.959,0.021,0.919,0.991,0.0,0.0,23933.0,16280.0,1.0
p_pain[4109],0.992,0.007,0.98,1.0,0.0,0.0,35774.0,18503.0,1.0
p_pain[4110],0.997,0.003,0.992,1.0,0.0,0.0,24416.0,16463.0,1.0
p_pain[4111],0.999,0.001,0.998,1.0,0.0,0.0,23844.0,16188.0,1.0
p_pain[4112],0.998,0.002,0.994,1.0,0.0,0.0,29172.0,18225.0,1.0
p_pain[4113],0.983,0.011,0.963,0.999,0.0,0.0,27437.0,17724.0,1.0
