,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[4515],0.829,0.044,0.749,0.909,0.0,0.0,30711.0,17923.0,1.0
p_pain[4516],0.821,0.044,0.74,0.901,0.0,0.0,30890.0,17816.0,1.0
p_pain[4517],0.267,0.064,0.148,0.387,0.0,0.0,26924.0,14270.0,1.0
p_pain[4518],0.872,0.042,0.793,0.944,0.0,0.0,29843.0,18032.0,1.0
p_pain[4519],0.778,0.043,0.7,0.861,0.0,0.0,31945.0,16760.0,1.0
p_pain[4520],0.899,0.039,0.823,0.962,0.0,0.0,29398.0,18435.0,1.0
p_pain[4521],0.484,0.046,0.397,0.572,0.0,0.0,31329.0,19141.0,1.0
p_pain[4522],0.742,0.042,0.662,0.82,0.0,0.0,32700.0,17168.0,1.0
p_pain[4523],0.932,0.034,0.87,0.984,0.0,0.0,28875.0,18412.0,1.0
p_pain[4524],0.381,0.057,0.275,0.486,0.0,0.0,28276.0,15829.0,1.0
p_pain[4525],0.711,0.041,0.633,0.787,0.0,0.0,33404.0,16652.0,1.0
p_pain[4526],0.239,0.065,0.12,0.36,0.0,0.0,26785.0,14286.0,1.0
p_pain[4527],0.368,0.058,0.258,0.475,0.0,0.0,28019.0,15675.0,1.0
p_pain[4528],0.418,0.053,0.319,0.517,0.0,0.0,29185.0,17114.0,1.0
p_pain[4529],0.467,0.048,0.379,0.559,0.0,0.0,30735.0,18898.0,1.0
p_pain[4530],0.552,0.041,0.475,0.629,0.0,0.0,33952.0,19974.0,1.0
p_pain[4531],0.537,0.042,0.46,0.618,0.0,0.0,33413.0,20129.0,1.0
p_pain[4532],0.849,0.043,0.77,0.927,0.0,0.0,30286.0,18054.0,1.0
p_pain[4533],0.7,0.04,0.623,0.775,0.0,0.0,33688.0,16838.0,1.0
p_pain[4534],0.637,0.039,0.566,0.711,0.0,0.0,34965.0,18666.0,1.0
p_pain[4535],0.59,0.039,0.518,0.665,0.0,0.0,34945.0,20499.0,1.0
p_pain[4536],0.306,0.063,0.188,0.422,0.0,0.0,27208.0,14667.0,1.0
p_pain[4537],0.653,0.039,0.582,0.728,0.0,0.0,34727.0,18272.0,1.0
p_pain[4538],0.879,0.041,0.8,0.948,0.0,0.0,29724.0,18010.0,1.0
p_pain[4539],0.932,0.034,0.87,0.984,0.0,0.0,28875.0,18412.0,1.0
p_pain[4540],0.789,0.043,0.71,0.872,0.0,0.0,31687.0,17232.0,1.0
p_pain[4541],0.711,0.041,0.633,0.787,0.0,0.0,33404.0,16652.0,1.0
p_pain[4542],0.7,0.04,0.623,0.775,0.0,0.0,33688.0,16838.0,1.0
p_pain[4543],0.484,0.046,0.397,0.572,0.0,0.0,31329.0,19141.0,1.0
p_pain[4544],0.821,0.044,0.74,0.901,0.0,0.0,30890.0,17816.0,1.0
p_pain[4545],0.552,0.041,0.475,0.629,0.0,0.0,33952.0,19974.0,1.0
p_pain[4546],0.742,0.042,0.662,0.82,0.0,0.0,32700.0,17168.0,1.0
p_pain[4547],0.829,0.044,0.749,0.909,0.0,0.0,30711.0,17923.0,1.0
p_pain[4548],0.467,0.048,0.379,0.559,0.0,0.0,30735.0,18898.0,1.0
p_pain[4549],0.537,0.042,0.46,0.618,0.0,0.0,33413.0,20129.0,1.0
p_pain[4550],0.418,0.053,0.319,0.517,0.0,0.0,29185.0,17114.0,1.0
p_pain[4551],0.653,0.039,0.582,0.728,0.0,0.0,34727.0,18272.0,1.0
p_pain[4552],0.306,0.063,0.188,0.422,0.0,0.0,27208.0,14667.0,1.0
p_pain[4553],0.239,0.065,0.12,0.36,0.0,0.0,26785.0,14286.0,1.0
p_pain[4554],0.872,0.042,0.793,0.944,0.0,0.0,29843.0,18032.0,1.0
p_pain[4555],0.368,0.058,0.258,0.475,0.0,0.0,28019.0,15675.0,1.0
p_pain[4556],0.899,0.039,0.823,0.962,0.0,0.0,29398.0,18435.0,1.0
p_pain[4557],0.267,0.064,0.148,0.387,0.0,0.0,26924.0,14270.0,1.0
p_pain[4558],0.849,0.043,0.77,0.927,0.0,0.0,30286.0,18054.0,1.0
p_pain[4559],0.59,0.039,0.518,0.665,0.0,0.0,34945.0,20499.0,1.0
p_pain[4560],0.637,0.039,0.566,0.711,0.0,0.0,34965.0,18666.0,1.0
p_pain[4561],0.381,0.057,0.275,0.486,0.0,0.0,28276.0,15829.0,1.0
p_pain[4562],0.778,0.043,0.7,0.861,0.0,0.0,31945.0,16760.0,1.0
p_pain[4563],0.879,0.041,0.8,0.948,0.0,0.0,29724.0,18010.0,1.0
p_pain[4564],0.985,0.01,0.966,0.999,0.0,0.0,37606.0,19341.0,1.0
