,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[32],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[33],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[34],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[35],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[36],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[37],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[38],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[39],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[40],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[41],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[42],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[43],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[44],0.5,0.001,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[45],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[46],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[47],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[48],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[49],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[50],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[51],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[52],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[53],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[54],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[55],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[56],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[57],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[58],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[59],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[60],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[61],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[62],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[63],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[64],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[65],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[66],0.5,0.001,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[67],0.5,0.001,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[68],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[69],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[70],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[71],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[72],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[73],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[74],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[75],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[76],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[77],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[78],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[79],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[80],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[81],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[82],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[83],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[84],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[85],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[86],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[87],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[88],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[89],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[90],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[91],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[92],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[93],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[94],0.5,0.001,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[95],0.5,0.001,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[96],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[97],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[98],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[99],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[100],0.5,0.001,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[101],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[102],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[103],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[104],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[105],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[106],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[107],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[108],0.5,0.0,0.5,0.501,0.0,0.0,922.0,895.0,1.0
p_pain[109],0.5,0.0,0.5,0.5,0.0,0.0,25000.0,25000.0,
p_pain[110],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[111],0.5,0.0,0.499,0.5,0.0,0.0,922.0,895.0,1.0
p_pain[112],0.5,0.0,0.5,0.5,0.0,0.0,922.0,895.0,1.0
