,z_subj,t_subj,sv_subj,sz_subj,st_subj,a_Intercept_subj,a_STA_SAI_Score_subj
0,0.6093197218532749,0.5665639962385258,,,,1.5279236103563911,0.006116758306395388
1,0.6499241680791575,0.577989412058446,,,,1.502183056601561,0.005213082006592385
2,0.6716020765834021,0.6772086890725876,,,,1.5433356904689535,0.006481271965001434
3,0.4634949070418743,0.6983026922542803,,,,1.3735918729283871,0.0011179109259212372
4,0.7059794375415859,0.42756568674978807,,,,1.3663516507636377,0.0007894443550524184
5,0.7376683868472494,0.5557038967555574,,,,1.4575862696006316,0.0035721054793119967
6,0.741945290689169,0.48623559433859154,,,,1.3863489276594234,0.002017773618020658
7,0.566291250823351,0.528052774747458,,,,1.8035870852743152,0.013316601887173192
8,0.7103776687570076,0.5017499507581518,,,,1.2845714594935513,-0.0023663552836097218
9,0.6375510873485832,0.503204554017358,,,,1.3996276071006153,0.001961361571101206
10,0.6718943119664806,0.379089827875319,,,,1.5249821048953556,0.006026303065316444
11,0.6433080381575258,0.7058143378699552,,,,1.5633434163022357,0.0071450467633342495
12,0.7274428403773676,0.747815651009101,,,,1.3975571992516753,0.0021735291755628685
13,0.5406875020324518,0.875992720577016,,,,1.4853097739916172,0.004777708364821697
14,0.3356698404203449,0.6353322266202264,,,,1.33314873856733,-0.0008557378180887046
15,0.6091903418508495,0.5944410778363916,,,,1.426430539961301,0.0026182982848006768
16,0.506753870061193,0.5869975493899304,,,,1.3130774514469303,-0.00025251783102301387
17,0.6588560817662126,0.6159561878338587,,,,1.6170097468218259,0.009078118715911935
18,0.6701316499469587,0.6637920354637318,,,,1.2604206370321611,-0.002911080471417954
19,0.6630273189793111,0.5570884271405061,,,,1.318203145316051,-0.001252942120852185
20,0.6045629727354523,0.5348853775308328,,,,1.4938234783625204,0.004996930439882415
21,0.7038065824015164,0.465536349162769,,,,1.3883109482398428,0.0013476552809664327
22,0.5104175141320009,0.4031685074074772,,,,1.7569274162500952,0.011770163899227061
23,0.5612979427051421,0.602830900098056,,,,1.330732764913168,-0.0001860005877990801
24,0.35965877100152854,0.29965515714878976,,,,1.4407739850790044,0.0031603068884799228
25,0.6687985772660582,0.5788275969682509,,,,1.4471154851977277,0.003010213531779742
26,0.5841821514782494,0.624881148657096,,,,1.308262268550916,-0.0023144046209249403
27,0.6194329198855527,0.5400800340570593,,,,1.4757207718836314,0.004727656257149816
28,0.6357491251758445,0.4771283170811017,,,,1.578530150913426,0.007884470108107057
29,0.5948090702975781,0.5088194817000281,,,,1.4093387235738322,0.002461481368092546
30,0.5426332092480499,0.5298401341666685,,,,1.4681854134597347,0.0037091255840178265
