,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
para,0,-1066.2846794441507,47.09299431462502,0.0,0.8628677657320312,30.561442605331155,0.0,True,log
linear,1,-1129.230817066759,45.885386447175264,62.94613762260816,0.1362826296115764,31.102110435718544,13.346396305082969,True,log
cubic,2,-1172.4500849744009,50.164809363063384,106.16540553025014,1.023814659073212e-14,31.450117761965398,7.745001071729653,True,log
expo,3,-1419.9862728767973,41.43329553993174,353.7015934326464,3.341647206435606e-14,30.94118963966363,17.892664682642863,True,log
logarithmic,4,-1420.9662513062958,43.86251316581031,354.681571862145,1.0142535936144872e-14,32.42405635352109,23.165365825467298,True,log
root,5,-1421.3776611705023,46.10668699463625,355.09298172635135,2.4069655931557864e-14,32.29473539059967,21.278317980076313,True,log
hyper,6,-2473.278546394991,305.2044035898192,1406.99386695084,1.2869872937869278e-13,42.16881306741042,35.91220616300138,True,log
none,7,-3506.1867457636445,0.0018363998623334345,2439.9020663194933,0.0008496046561858872,0.025776978666018583,30.56833415269768,False,log
