,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
para,0,-1066.5895708826374,47.39788575311161,0.0,0.8629270222622824,30.597857895793034,0.0,False,log
linear,1,-1129.4696323602839,46.12420174070007,62.880061477646365,0.13617422490506342,31.131228172404846,13.352840055356243,False,log
cubic,2,-1172.7722463912223,50.486970779884814,106.18267550858518,0.0,31.475967702313447,7.758788874245217,False,log
expo,3,-1420.2566075651348,41.703630228269276,353.6670366824975,0.0,30.9755850015431,17.905819653289836,False,log
logarithmic,4,-1421.2117767108311,44.10803857034557,354.6222058281937,0.0,32.44929828981473,23.183739864549302,False,log
root,5,-1421.5460610918424,46.27508691597632,354.95649020920507,0.0,32.31345807172995,21.28568459472301,False,log
hyper,6,-2446.8627592889925,278.788616483821,1380.2731884063548,0.0,28.79668123737595,25.841566571328734,True,log
none,7,-3506.1867446861115,0.0018353223294980126,2439.597173803474,0.0008987528326542815,0.0257769583633058,30.60474672119316,True,log
