,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[3224],0.986,0.01,0.969,0.999,0.0,0.0,9151.0,5638.0,1.0
p_pain[3225],0.949,0.026,0.903,0.99,0.0,0.0,9022.0,4779.0,1.0
p_pain[3226],0.998,0.002,0.994,1.0,0.0,0.0,9166.0,6094.0,1.0
p_pain[3227],0.998,0.003,0.993,1.0,0.0,0.0,9176.0,5988.0,1.0
p_pain[3228],0.991,0.008,0.977,1.0,0.0,0.0,9167.0,5796.0,1.0
p_pain[3229],0.99,0.008,0.975,1.0,0.0,0.0,9163.0,5792.0,1.0
p_pain[3230],0.992,0.007,0.98,1.0,0.0,0.0,9183.0,5926.0,1.0
p_pain[3231],0.965,0.019,0.931,0.995,0.0,0.0,9046.0,4983.0,1.0
p_pain[3232],0.976,0.014,0.95,0.997,0.0,0.0,9211.0,5325.0,1.0
p_pain[3233],0.937,0.031,0.883,0.987,0.0,0.0,9046.0,4746.0,1.0
p_pain[3234],0.986,0.01,0.969,0.999,0.0,0.0,9151.0,5638.0,1.0
p_pain[3235],0.998,0.003,0.993,1.0,0.0,0.0,9176.0,5988.0,1.0
p_pain[3236],0.991,0.008,0.977,1.0,0.0,0.0,9167.0,5796.0,1.0
p_pain[3237],0.899,0.047,0.815,0.979,0.0,0.0,9176.0,4994.0,1.0
p_pain[3238],0.99,0.008,0.975,1.0,0.0,0.0,9163.0,5792.0,1.0
p_pain[3239],0.974,0.015,0.947,0.997,0.0,0.0,9103.0,5188.0,1.0
p_pain[3240],0.997,0.003,0.992,1.0,0.0,0.0,9183.0,5989.0,1.0
p_pain[3241],0.998,0.002,0.994,1.0,0.0,0.0,9166.0,6094.0,1.0
p_pain[3242],0.868,0.061,0.753,0.969,0.001,0.0,9274.0,4936.0,1.0
p_pain[3243],0.997,0.004,0.99,1.0,0.0,0.0,9186.0,5971.0,1.0
p_pain[3244],0.932,0.033,0.874,0.987,0.0,0.0,9061.0,4787.0,1.0
p_pain[3245],0.962,0.021,0.925,0.994,0.0,0.0,9037.0,4973.0,1.0
p_pain[3246],0.994,0.006,0.984,1.0,0.0,0.0,9199.0,5816.0,1.0
p_pain[3247],0.996,0.004,0.989,1.0,0.0,0.0,9198.0,5813.0,1.0
p_pain[3248],0.949,0.026,0.903,0.99,0.0,0.0,9022.0,4779.0,1.0
p_pain[3249],0.985,0.01,0.967,0.999,0.0,0.0,9148.0,5680.0,1.0
p_pain[3250],0.981,0.012,0.958,0.998,0.0,0.0,9096.0,5429.0,1.0
p_pain[3251],0.992,0.007,0.98,1.0,0.0,0.0,9183.0,5926.0,1.0
p_pain[3252],0.996,0.004,0.988,1.0,0.0,0.0,9199.0,5813.0,1.0
p_pain[3253],0.999,0.002,0.996,1.0,0.0,0.0,9152.0,6138.0,1.0
p_pain[3254],0.839,0.075,0.7,0.966,0.001,0.001,9356.0,4902.0,1.0
p_pain[3255],0.965,0.019,0.931,0.995,0.0,0.0,9046.0,4983.0,1.0
p_pain[3256],0.994,0.005,0.985,1.0,0.0,0.0,9200.0,5794.0,1.0
p_pain[3257],0.994,0.005,0.985,1.0,0.0,0.0,9200.0,5794.0,1.0
p_pain[3258],0.994,0.006,0.984,1.0,0.0,0.0,9199.0,5816.0,1.0
p_pain[3259],0.997,0.003,0.992,1.0,0.0,0.0,9183.0,5989.0,1.0
p_pain[3260],0.992,0.007,0.98,1.0,0.0,0.0,9183.0,5926.0,1.0
p_pain[3261],0.99,0.008,0.975,1.0,0.0,0.0,9163.0,5792.0,1.0
p_pain[3262],0.996,0.004,0.989,1.0,0.0,0.0,9198.0,5813.0,1.0
p_pain[3263],0.998,0.002,0.994,1.0,0.0,0.0,9166.0,6094.0,1.0
p_pain[3264],0.997,0.004,0.99,1.0,0.0,0.0,9186.0,5971.0,1.0
p_pain[3265],0.868,0.061,0.753,0.969,0.001,0.0,9274.0,4936.0,1.0
p_pain[3266],0.998,0.003,0.993,1.0,0.0,0.0,9176.0,5988.0,1.0
p_pain[3267],0.839,0.075,0.7,0.966,0.001,0.001,9356.0,4902.0,1.0
p_pain[3268],0.991,0.008,0.977,1.0,0.0,0.0,9167.0,5796.0,1.0
p_pain[3269],0.949,0.026,0.903,0.99,0.0,0.0,9022.0,4779.0,1.0
p_pain[3270],0.985,0.01,0.967,0.999,0.0,0.0,9148.0,5680.0,1.0
p_pain[3271],0.932,0.033,0.874,0.987,0.0,0.0,9061.0,4787.0,1.0
p_pain[3272],0.996,0.004,0.988,1.0,0.0,0.0,9199.0,5813.0,1.0
p_pain[3273],0.937,0.031,0.883,0.987,0.0,0.0,9046.0,4746.0,1.0
p_pain[3274],0.974,0.015,0.947,0.997,0.0,0.0,9103.0,5188.0,1.0
p_pain[3275],0.962,0.021,0.925,0.994,0.0,0.0,9037.0,4973.0,1.0
p_pain[3276],0.899,0.047,0.815,0.979,0.0,0.0,9176.0,4994.0,1.0
p_pain[3277],0.976,0.014,0.95,0.997,0.0,0.0,9211.0,5325.0,1.0
p_pain[3278],0.986,0.01,0.969,0.999,0.0,0.0,9151.0,5638.0,1.0
p_pain[3279],0.999,0.002,0.996,1.0,0.0,0.0,9152.0,6138.0,1.0
p_pain[3280],0.965,0.019,0.931,0.995,0.0,0.0,9046.0,4983.0,1.0
p_pain[3281],0.981,0.012,0.958,0.998,0.0,0.0,9096.0,5429.0,1.0
p_pain[3282],0.999,0.002,0.996,1.0,0.0,0.0,9152.0,6138.0,1.0
p_pain[3283],0.868,0.061,0.753,0.969,0.001,0.0,9274.0,4936.0,1.0
p_pain[3284],0.839,0.075,0.7,0.966,0.001,0.001,9356.0,4902.0,1.0
p_pain[3285],0.991,0.008,0.977,1.0,0.0,0.0,9167.0,5796.0,1.0
p_pain[3286],0.985,0.01,0.967,0.999,0.0,0.0,9148.0,5680.0,1.0
p_pain[3287],0.997,0.004,0.99,1.0,0.0,0.0,9186.0,5971.0,1.0
p_pain[3288],0.997,0.003,0.992,1.0,0.0,0.0,9183.0,5989.0,1.0
p_pain[3289],0.996,0.004,0.988,1.0,0.0,0.0,9199.0,5813.0,1.0
p_pain[3290],0.974,0.015,0.947,0.997,0.0,0.0,9103.0,5188.0,1.0
p_pain[3291],0.998,0.002,0.994,1.0,0.0,0.0,9166.0,6094.0,1.0
p_pain[3292],0.949,0.026,0.903,0.99,0.0,0.0,9022.0,4779.0,1.0
p_pain[3293],0.994,0.005,0.985,1.0,0.0,0.0,9200.0,5794.0,1.0
p_pain[3294],0.899,0.047,0.815,0.979,0.0,0.0,9176.0,4994.0,1.0
p_pain[3295],0.981,0.012,0.958,0.998,0.0,0.0,9096.0,5429.0,1.0
p_pain[3296],0.937,0.031,0.883,0.987,0.0,0.0,9046.0,4746.0,1.0
p_pain[3297],0.99,0.008,0.975,1.0,0.0,0.0,9163.0,5792.0,1.0
p_pain[3298],0.998,0.003,0.993,1.0,0.0,0.0,9176.0,5988.0,1.0
p_pain[3299],0.965,0.019,0.931,0.995,0.0,0.0,9046.0,4983.0,1.0
p_pain[3300],0.992,0.007,0.98,1.0,0.0,0.0,9183.0,5926.0,1.0
p_pain[3301],0.996,0.004,0.989,1.0,0.0,0.0,9198.0,5813.0,1.0
p_pain[3302],0.976,0.014,0.95,0.997,0.0,0.0,9211.0,5325.0,1.0
p_pain[3303],0.962,0.021,0.925,0.994,0.0,0.0,9037.0,4973.0,1.0
p_pain[3304],0.994,0.006,0.984,1.0,0.0,0.0,9199.0,5816.0,1.0
p_pain[3305],0.932,0.033,0.874,0.987,0.0,0.0,9061.0,4787.0,1.0
p_pain[3306],0.986,0.01,0.969,0.999,0.0,0.0,9151.0,5638.0,1.0
p_pain[3307],0.997,0.004,0.99,1.0,0.0,0.0,9186.0,5971.0,1.0
p_pain[3308],0.985,0.01,0.967,0.999,0.0,0.0,9148.0,5680.0,1.0
p_pain[3309],0.899,0.047,0.815,0.979,0.0,0.0,9176.0,4994.0,1.0
p_pain[3310],0.998,0.002,0.994,1.0,0.0,0.0,9166.0,6094.0,1.0
p_pain[3311],0.996,0.004,0.988,1.0,0.0,0.0,9199.0,5813.0,1.0
p_pain[3312],0.997,0.003,0.992,1.0,0.0,0.0,9183.0,5989.0,1.0
p_pain[3313],0.994,0.006,0.984,1.0,0.0,0.0,9199.0,5816.0,1.0
p_pain[3314],0.937,0.031,0.883,0.987,0.0,0.0,9046.0,4746.0,1.0
