,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k_pain[26],0.569,0.444,0.0,1.389,0.005,0.003,5863.0,3656.0,1.0
k_pain[27],8.685,0.451,7.849,9.541,0.004,0.003,11965.0,5215.0,1.0
k_pain[28],5.962,0.49,5.018,6.881,0.004,0.003,13401.0,5587.0,1.0
k_pain[29],34.747,4.412,26.482,42.876,0.047,0.034,9472.0,6035.0,1.0
k_pain[30],4.591,0.592,3.554,5.744,0.006,0.004,9726.0,5018.0,1.0
k_pain[31],1.87,0.802,0.267,3.246,0.012,0.008,4455.0,2320.0,1.0
k_pain[32],0.383,0.325,0.0,0.997,0.003,0.002,7059.0,4030.0,1.0
k_pain[33],8.027,0.489,7.114,8.959,0.004,0.003,15382.0,5284.0,1.0
k_pain[34],7.519,0.463,6.618,8.346,0.004,0.003,13785.0,5617.0,1.0
k_pain[35],5.998,0.51,5.072,6.974,0.004,0.003,13539.0,5139.0,1.0
k_pain[36],2.288,0.694,0.914,3.533,0.011,0.007,5014.0,2850.0,1.0
k_pain[37],5.009,0.461,4.107,5.818,0.004,0.003,13958.0,4934.0,1.0
k_pain[38],7.31,0.552,6.266,8.332,0.005,0.003,13898.0,5319.0,1.0
k_pain[39],9.168,0.615,8.019,10.335,0.005,0.004,13149.0,5587.0,1.0
k_pain[40],7.039,0.48,6.145,7.923,0.004,0.003,13825.0,5711.0,1.0
sv_pain[0],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[1],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[2],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[3],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[4],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[5],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[6],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[7],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[8],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[9],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[10],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[11],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[12],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[13],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[14],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[15],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[16],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[17],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[18],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[19],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[20],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[21],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[22],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[23],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[24],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[25],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[26],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[27],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[28],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[29],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[30],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[31],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[32],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[33],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[34],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[35],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[36],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[37],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[38],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[39],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[40],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[41],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[42],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[43],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[44],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[45],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[46],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[47],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[48],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[49],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[50],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[51],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[52],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[53],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[54],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[55],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[56],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[57],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[58],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[59],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[60],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[61],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[62],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[63],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[64],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[65],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[66],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[67],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[68],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[69],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[70],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[71],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[72],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[73],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[74],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[75],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[76],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[77],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[78],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[79],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[80],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[81],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[82],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[83],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[84],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[85],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[86],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[87],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[88],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[89],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[90],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[91],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[92],0.065,0.058,0.0,0.172,0.001,0.0,7991.0,4531.0,1.0
sv_pain[93],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[94],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[95],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[96],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[97],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[98],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[99],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[100],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[101],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[102],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
sv_pain[103],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[104],0.162,0.146,0.0,0.429,0.001,0.001,7991.0,4531.0,1.0
