participant,painstim,moneystim,all_trials_rewards,painlevel,painlevel_J,leftstim,rightstim,acceptside,acceptkey,accepted,choice_resp.keys,choice_resp.rt,blocks.thisRepN,trials.thisN,TaskName,P1,P2,P3,P4,P5,fail_ma,fixduration,moneylevel,rt,response,subj_idx,acceptance_pair,OV_value,Abs_value,OV_Money_Pain,Abs_Money_Pain,fixduration,moneylevel,sv_money,sv_pain,sv_both,p_pain_all
sub-002,p1,m5,,1,20500.0,stimuli/p1.png,stimuli/m5.png,right,m,1.0,m,0.6312133000010363,0.0,18.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,5,0.6312133000010363,1.0,sub-002,M,high_OV,high_abs,h_OV_h_money,high_abs_h_money,1.5,5,5,0.2333333333333325,-4.766666666666667,1.0
sub-002,p1,m4,,1,20500.0,stimuli/p1.png,stimuli/m4.png,right,m,1.0,m,0.6095313999994687,0.0,19.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.6,4,0.6095313999994687,1.0,sub-002,M,low_OV,high_abs,low_OV_h_money,high_abs_h_money,1.6,4,4,0.2333333333333325,-3.766666666666667,1.0
sub-002,p3,m1,,3,41500.0,stimuli/m1.png,stimuli/p3.png,right,m,1.0,m,0.748071500000151,0.0,20.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,1,0.748071500000151,1.0,sub-002,P,low_OV,mid_abs,low_OV_h_pain,mid_abs,1.7,1,1,0.6999999999999974,-0.3000000000000026,1.0
sub-002,p5,m2,,5,66000.0,stimuli/m2.png,stimuli/p5.png,right,m,1.0,m,0.9947190000002591,0.0,21.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,2,0.9947190000002591,1.0,sub-002,P,high_OV,high_abs,h_OV_h_pain,high_abs_h_pain,1.5,2,2,1.166666666666662,-0.8333333333333377,1.0
sub-002,p3,m4,,3,41500.0,stimuli/p3.png,stimuli/m4.png,right,m,1.0,m,0.7080361000007542,0.0,22.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,4,0.7080361000007542,1.0,sub-002,M,high_OV,low_abs,h_OV_h_money,low_abs_h_money,1.8,4,4,0.6999999999999974,-3.300000000000002,1.0
sub-002,p4,m1,,4,53000.0,stimuli/p4.png,stimuli/m1.png,right,m,1.0,m,0.6855746000001091,0.0,23.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,1,0.6855746000001091,1.0,sub-002,P,low_OV,high_abs,low_OV_h_pain,high_abs_h_pain,1.8,1,1,0.9333333333333299,-0.0666666666666701,1.0
sub-002,p5,m5,,5,66000.0,stimuli/p5.png,stimuli/m5.png,right,m,1.0,m,0.6708612999991601,0.0,24.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,5,0.6708612999991601,1.0,sub-002,I,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,1.7,5,5,1.166666666666662,-3.833333333333337,1.0
sub-002,p2,m2,,2,30500.0,stimuli/m2.png,stimuli/p2.png,right,m,1.0,m,0.6821433999994042,1.0,0.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,2,0.6821433999994042,1.0,sub-002,I,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,1.8,2,2,0.466666666666665,-1.533333333333335,1.0
sub-002,p2,m1,,2,30500.0,stimuli/m1.png,stimuli/p2.png,right,m,1.0,m,1.2083457999997336,1.0,1.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,1,1.2083457999997336,1.0,sub-002,P,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,1.7,1,1,0.466666666666665,-0.533333333333335,1.0
sub-002,p1,m5,,1,20500.0,stimuli/m5.png,stimuli/p1.png,right,m,1.0,m,0.6609789999984059,1.0,2.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.6,5,0.6609789999984059,1.0,sub-002,M,high_OV,high_abs,h_OV_h_money,high_abs_h_money,1.6,5,5,0.2333333333333325,-4.766666666666667,1.0
