,z_subj,sv_subj,sz_subj,st_subj,t_Intercept_subj,t_sv_money_subj
0,0.6027960558228229,,,,0.5595797153601576,0.0017763526846542646
1,0.6353554765012015,,,,0.5840438721100589,-0.0038069629648007568
2,0.660365763190278,,,,0.7405505908613628,-0.017807239643233806
3,0.46563186825427566,,,,0.681502189873931,0.005121911365662638
4,0.6885110583900089,,,,0.43426012555033916,-0.004900369614598681
5,0.7234611804159415,,,,0.571082742638307,-0.006681005446683212
6,0.7292612050159646,,,,0.5507290877887964,-0.02033647178259304
7,0.5691708556913659,,,,0.5025431958758713,0.01134572396544162
8,0.6832410602775106,,,,0.5523160944319924,-0.016951845218046255
9,0.6080664291587647,,,,0.5524020638638613,-0.01614531982097306
10,0.650017194977967,,,,0.406596327844552,-0.013451360422742139
11,0.6332670163305151,,,,0.7271751232659422,-0.00647350953654444
12,0.7301898030824162,,,,0.7335294196304156,0.004518132422240144
13,0.538497409205163,,,,0.862449907750408,0.004333336441995541
14,0.3458914303260418,,,,0.5902236468417327,0.012856081856678945
15,0.6041300078328732,,,,0.5923993947422594,0.0008386734128462097
16,0.5085398698819589,,,,0.5779806409868916,0.002339068959067032
17,0.6424550768572115,,,,0.6408994415000276,-0.010967618500746418
18,0.663514417120399,,,,0.6493901726682048,0.003749294665062549
19,0.6401635742486568,,,,0.5771049978851572,-0.008461088053237194
20,0.5850425208359428,,,,0.5808115341566321,-0.014955457772668981
21,0.6834578197718117,,,,0.5586886287944642,-0.025419897940797395
22,0.5089682142070094,,,,0.4029136049023694,-0.003579624280458741
23,0.5561984169768628,,,,0.6072185975559726,-9.482763077639744e-05
24,0.3720579237875005,,,,0.3157694872323821,-0.007022165498666104
25,0.642961223743107,,,,0.608134419314891,-0.013195153555985243
26,0.5537215596893548,,,,0.6624716494278964,-0.013246012213693507
27,0.608278238949,,,,0.5708746505041841,-0.011424896967028506
28,0.6124668086940844,,,,0.5200089158867204,-0.017203530142689483
29,0.5795757218109953,,,,0.5306771602171653,-0.007562038993749207
30,0.5423499897326521,,,,0.5345599608954532,-0.0023847177348071194
