participant;painstim;moneystim;all_trials_rewards;painlevel;painlevel_J;leftstim;rightstim;acceptside;acceptkey;accepted;choice_resp.keys;choice_resp.rt;blocks.thisRepN;trials.thisN;TaskName;P1;P2;P3;P4;P5;fail_ma;fixduration;moneylevel
sub-002;p3;m1;;3.0;41500.0;stimuli/p3.png;stimuli/m1.png;right;m;1.0;m;0.4941044000006513;1.0;5.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;1.0
sub-002;p4;m1;;4.0;53000.0;stimuli/m1.png;stimuli/p4.png;right;m;1.0;m;1.6311606999988726;1.0;6.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;1.0
sub-002;p5;m4;;5.0;66000.0;stimuli/p5.png;stimuli/m4.png;right;m;1.0;m;0.7706639999996696;1.0;7.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;4.0
sub-002;p1;m2;;1.0;20500.0;stimuli/p1.png;stimuli/m2.png;right;m;1.0;m;0.6876931999995577;1.0;8.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;2.0
sub-002;p4;m4;;4.0;53000.0;stimuli/p4.png;stimuli/m4.png;right;m;1.0;m;0.6642520000004879;1.0;9.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;4.0
sub-002;p4;m5;;4.0;53000.0;stimuli/p4.png;stimuli/m5.png;right;m;1.0;m;0.6768885999990744;1.0;10.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;5.0
sub-002;p1;m4;;1.0;20500.0;stimuli/m4.png;stimuli/p1.png;right;m;1.0;m;0.5704630000000179;1.0;11.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;4.0
sub-002;p3;m5;;3.0;41500.0;stimuli/p3.png;stimuli/m5.png;right;m;1.0;m;0.6061291999994864;1.0;12.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;5.0
sub-002;p5;m1;;5.0;66000.0;stimuli/p5.png;stimuli/m1.png;right;m;1.0;m;0.6491211000011391;1.0;13.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;1.0
sub-002;p2;m5;;2.0;30500.0;stimuli/p2.png;stimuli/m5.png;right;m;1.0;m;0.7414446999991924;1.0;14.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;5.0
sub-002;p2;m3;;2.0;30500.0;stimuli/p2.png;stimuli/m3.png;right;m;1.0;m;0.6434161000015592;1.0;15.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;3.0
sub-002;p4;m2;;4.0;53000.0;stimuli/p4.png;stimuli/m2.png;right;m;1.0;m;0.9690012999999452;1.0;16.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;2.0
sub-002;p3;m4;;3.0;41500.0;stimuli/p3.png;stimuli/m4.png;right;m;1.0;m;0.5966304999983549;1.0;17.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;4.0
sub-002;p4;m3;;4.0;53000.0;stimuli/p4.png;stimuli/m3.png;right;m;1.0;m;0.9324085000007472;1.0;18.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;3.0
sub-002;p3;m3;;3.0;41500.0;stimuli/m3.png;stimuli/p3.png;right;m;1.0;m;0.5464453999993566;1.0;19.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;3.0
sub-002;p2;m4;;2.0;30500.0;stimuli/p2.png;stimuli/m4.png;right;m;1.0;m;0.5726339000011649;1.0;20.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;4.0
sub-002;p1;m1;;1.0;20500.0;stimuli/m1.png;stimuli/p1.png;right;m;1.0;m;2.6889069000008017;1.0;21.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;1.0
sub-002;p5;m2;;5.0;66000.0;stimuli/m2.png;stimuli/p5.png;right;m;1.0;m;0.4532328000004781;1.0;22.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;2.0
sub-002;p1;m3;;1.0;20500.0;stimuli/p1.png;stimuli/m3.png;right;m;1.0;m;0.534575900001073;1.0;23.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;3.0
sub-002;p5;m3;;5.0;66000.0;stimuli/p5.png;stimuli/m3.png;right;m;1.0;m;0.5625657000000501;1.0;24.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;3.0
sub-002;p3;m4;;3.0;41500.0;stimuli/m4.png;stimuli/p3.png;right;m;1.0;m;0.5399084000000585;2.0;0.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;4.0
sub-002;p4;m4;;4.0;53000.0;stimuli/p4.png;stimuli/m4.png;right;m;1.0;m;0.4002994000002218;2.0;1.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;4.0
sub-002;p2;m4;;2.0;30500.0;stimuli/p2.png;stimuli/m4.png;right;m;1.0;m;0.4257575999999972;2.0;2.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;4.0
sub-002;p2;m2;;2.0;30500.0;stimuli/m2.png;stimuli/p2.png;right;m;1.0;m;0.5451631999985693;2.0;3.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;2.0
sub-002;p2;m5;;2.0;30500.0;stimuli/m5.png;stimuli/p2.png;right;m;1.0;m;0.8715085000003455;2.0;4.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;5.0
sub-002;p4;m2;;4.0;53000.0;stimuli/p4.png;stimuli/m2.png;right;m;1.0;m;0.5991358999999647;2.0;5.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;2.0
sub-002;p1;m5;;1.0;20500.0;stimuli/m5.png;stimuli/p1.png;right;m;1.0;m;0.6157034999996539;2.0;6.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;5.0
sub-002;p1;m3;;1.0;20500.0;stimuli/p1.png;stimuli/m3.png;right;m;1.0;m;0.6341179000010015;2.0;7.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;3.0
sub-002;p1;m1;;1.0;20500.0;stimuli/p1.png;stimuli/m1.png;right;m;1.0;m;0.5671124000000418;2.0;8.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;1.0
sub-002;p3;m3;;3.0;41500.0;stimuli/m3.png;stimuli/p3.png;right;m;1.0;m;0.5069935000010446;2.0;9.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;3.0
sub-002;p5;m2;;5.0;66000.0;stimuli/m2.png;stimuli/p5.png;right;m;1.0;m;0.5167516999990767;2.0;10.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;2.0
sub-002;p2;m1;;2.0;30500.0;stimuli/m1.png;stimuli/p2.png;right;m;1.0;m;0.5335536999991746;2.0;11.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;1.0
sub-002;p2;m3;;2.0;30500.0;stimuli/p2.png;stimuli/m3.png;right;m;1.0;m;0.4881967999990593;2.0;12.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;3.0
sub-002;p4;m5;;4.0;53000.0;stimuli/m5.png;stimuli/p4.png;right;m;1.0;m;0.5932035000005271;2.0;13.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;5.0
sub-002;p3;m1;;3.0;41500.0;stimuli/p3.png;stimuli/m1.png;right;m;1.0;m;0.6822682000001805;2.0;14.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;1.0
sub-002;p5;m1;;5.0;66000.0;stimuli/m1.png;stimuli/p5.png;right;m;1.0;m;0.4931909000006271;2.0;15.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;1.0
sub-002;p5;m3;;5.0;66000.0;stimuli/m3.png;stimuli/p5.png;right;m;1.0;m;0.6877876999988075;2.0;16.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;3.0
sub-002;p4;m1;;4.0;53000.0;stimuli/m1.png;stimuli/p4.png;right;m;1.0;m;0.5969356000005064;2.0;17.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;1.0
sub-002;p5;m4;;5.0;66000.0;stimuli/p5.png;stimuli/m4.png;right;m;1.0;m;0.5863202000000456;2.0;18.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;4.0
sub-002;p4;m3;;4.0;53000.0;stimuli/m3.png;stimuli/p4.png;right;m;1.0;m;0.6090944000006857;2.0;19.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;3.0
sub-002;p3;m5;;3.0;41500.0;stimuli/p3.png;stimuli/m5.png;right;m;1.0;m;0.9539483999997174;2.0;20.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;5.0
sub-002;p1;m2;;1.0;20500.0;stimuli/p1.png;stimuli/m2.png;right;m;1.0;m;1.0842507999986992;2.0;21.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;2.0
sub-002;p1;m4;;1.0;20500.0;stimuli/p1.png;stimuli/m4.png;right;m;1.0;m;1.3102749000008769;2.0;22.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;4.0
sub-002;p3;m2;;3.0;41500.0;stimuli/m2.png;stimuli/p3.png;right;m;1.0;m;0.6415235000004031;2.0;23.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;2.0
sub-002;p5;m5;;5.0;66000.0;stimuli/p5.png;stimuli/m5.png;right;m;1.0;m;0.6709386999991693;2.0;24.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;5.0
sub-002;p3;m4;;3.0;41500.0;stimuli/m4.png;stimuli/p3.png;right;m;1.0;m;0.662922499999695;3.0;0.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;4.0
sub-002;p5;m3;;5.0;66000.0;stimuli/p5.png;stimuli/m3.png;right;m;1.0;m;0.6330360000010842;3.0;1.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;3.0
