,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[2692],0.845,0.037,0.773,0.912,0.0,0.0,11722.0,6044.0,1.0
p_pain[2693],0.01,0.009,0.0,0.027,0.0,0.0,10580.0,5594.0,1.0
p_pain[2694],0.952,0.023,0.909,0.988,0.0,0.0,11547.0,5588.0,1.0
p_pain[2695],0.935,0.032,0.875,0.987,0.0,0.0,11437.0,5960.0,1.0
p_pain[2696],0.309,0.096,0.14,0.489,0.001,0.001,10769.0,5702.0,1.0
p_pain[2697],0.856,0.041,0.777,0.93,0.0,0.0,11474.0,6006.0,1.0
p_pain[2698],0.751,0.033,0.687,0.812,0.0,0.0,11476.0,5413.0,1.0
p_pain[2699],0.612,0.043,0.525,0.687,0.0,0.0,11234.0,6324.0,1.0
p_pain[2700],0.219,0.059,0.11,0.324,0.001,0.0,10588.0,5572.0,1.0
p_pain[2701],0.034,0.023,0.003,0.077,0.0,0.0,10493.0,5677.0,1.0
p_pain[2702],0.993,0.006,0.981,1.0,0.0,0.0,11344.0,5467.0,1.0
p_pain[2703],0.987,0.01,0.968,0.999,0.0,0.0,11663.0,5938.0,1.0
p_pain[2704],0.996,0.004,0.988,1.0,0.0,0.0,11439.0,5335.0,1.0
p_pain[2705],0.071,0.033,0.021,0.135,0.0,0.0,10526.0,5595.0,1.0
p_pain[2706],0.985,0.01,0.967,0.999,0.0,0.0,11476.0,5413.0,1.0
p_pain[2707],0.8,0.059,0.688,0.907,0.001,0.0,11309.0,6158.0,1.0
p_pain[2708],0.955,0.023,0.914,0.992,0.0,0.0,11517.0,6068.0,1.0
p_pain[2709],0.918,0.029,0.863,0.969,0.0,0.0,11385.0,5429.0,1.0
p_pain[2710],0.621,0.105,0.416,0.805,0.001,0.001,11099.0,5981.0,1.0
p_pain[2711],0.588,0.023,0.545,0.631,0.0,0.0,11309.0,6158.0,1.0
p_pain[2712],0.998,0.003,0.993,1.0,0.0,0.0,11332.0,5548.0,1.0
p_pain[2713],0.273,0.098,0.105,0.46,0.001,0.001,8710.0,4805.0,1.0
p_pain[2714],0.79,0.041,0.712,0.863,0.0,0.0,11823.0,5815.0,1.0
p_pain[2715],0.989,0.009,0.973,0.999,0.0,0.0,9209.0,6052.0,1.0
p_pain[2716],0.574,0.068,0.445,0.699,0.001,0.0,10509.0,5879.0,1.0
p_pain[2717],0.975,0.015,0.947,0.997,0.0,0.0,8974.0,6129.0,1.0
p_pain[2718],0.268,0.07,0.142,0.401,0.001,0.001,8528.0,4771.0,1.0
p_pain[2719],0.832,0.048,0.743,0.92,0.0,0.0,12382.0,5815.0,1.0
p_pain[2720],0.572,0.104,0.386,0.77,0.001,0.001,10228.0,5738.0,1.0
p_pain[2721],0.931,0.028,0.879,0.978,0.0,0.0,10276.0,6100.0,1.0
p_pain[2722],0.765,0.035,0.698,0.83,0.0,0.0,9209.0,6052.0,1.0
p_pain[2723],0.993,0.006,0.983,1.0,0.0,0.0,9558.0,5951.0,1.0
p_pain[2724],0.678,0.029,0.626,0.732,0.0,0.0,11284.0,5808.0,1.0
p_pain[2725],0.501,0.04,0.426,0.577,0.0,0.0,9771.0,5612.0,1.0
p_pain[2726],0.944,0.031,0.888,0.99,0.0,0.0,12174.0,5722.0,1.0
p_pain[2727],0.099,0.058,0.015,0.208,0.001,0.001,8247.0,4654.0,1.0
p_pain[2728],0.979,0.014,0.954,0.997,0.0,0.0,9783.0,6094.0,1.0
p_pain[2729],0.885,0.034,0.825,0.95,0.0,0.0,9656.0,6252.0,1.0
p_pain[2730],0.828,0.066,0.707,0.942,0.001,0.0,12089.0,5832.0,1.0
p_pain[2731],0.946,0.026,0.898,0.988,0.0,0.0,11284.0,5808.0,1.0
p_pain[2732],0.998,0.003,0.993,1.0,0.0,0.0,8939.0,6204.0,1.0
p_pain[2733],0.921,0.03,0.867,0.973,0.0,0.0,9027.0,6153.0,1.0
p_pain[2734],0.996,0.004,0.99,1.0,0.0,0.0,9131.0,6125.0,1.0
p_pain[2735],0.992,0.007,0.98,1.0,0.0,0.0,8952.0,6204.0,1.0
p_pain[2736],0.964,0.019,0.928,0.993,0.0,0.0,9337.0,6150.0,1.0
p_pain[2737],0.931,0.028,0.879,0.978,0.0,0.0,10276.0,6100.0,1.0
p_pain[2738],0.996,0.004,0.99,1.0,0.0,0.0,9131.0,6125.0,1.0
p_pain[2739],0.964,0.019,0.928,0.993,0.0,0.0,9337.0,6150.0,1.0
p_pain[2740],0.828,0.066,0.707,0.942,0.001,0.0,12089.0,5832.0,1.0
